ATM,Date,Predicted_Withdrawal,Refill_Amount,Stock,Out_of_Cash,Day_Cost
Z0276001,2006-08-07,49952.62256480204,19500000.0,19950047.377435196,0,195000.0
Z0386002,2006-08-07,42777.744605328524,19500000.0,19957222.25539467,0,195000.0
Z0646002,2006-08-07,48264.00285600428,19500000.0,19951735.997143995,0,195000.0
Z1031001,2006-08-07,7810.829125038092,19500000.0,19992189.17087496,0,195000.0
Z1524001,2006-08-07,26569.922664828788,19500000.0,19973430.07733517,0,195000.0
Z0276001,2006-08-08,41765.437745951815,0.0,19908281.939689245,0,0.0
Z0386002,2006-08-08,29831.57322789473,0.0,19927390.682166778,0,0.0
Z0646002,2006-08-08,45281.60577470792,0.0,19906454.391369287,0,0.0
Z1031001,2006-08-08,11131.935765962582,0.0,19981057.235108998,0,0.0
Z1524001,2006-08-08,20267.926588503422,0.0,19953162.15074667,0,0.0
Z0276001,2006-08-09,48908.29053407632,0.0,19859373.64915517,0,0.0
Z0386002,2006-08-09,29241.4705533153,0.0,19898149.21161346,0,0.0
Z0646002,2006-08-09,42913.70877134457,0.0,19863540.682597943,0,0.0
Z1031001,2006-08-09,7638.506278684762,0.0,19973418.72883031,0,0.0
Z1524001,2006-08-09,67028.96191533576,0.0,19886133.188831333,0,0.0
Z0276001,2006-08-10,45967.14355618167,0.0,19813406.50559899,0,0.0
Z0386002,2006-08-10,40223.446367237135,0.0,19857925.765246224,0,0.0
Z0646002,2006-08-10,72362.69109508778,0.0,19791177.991502855,0,0.0
Z1031001,2006-08-10,9787.64632061968,0.0,19963631.082509693,0,0.0
Z1524001,2006-08-10,90729.58941189162,0.0,19795403.59941944,0,0.0
Z0276001,2006-08-11,42562.97343768671,0.0,19770843.532161303,0,0.0
Z0386002,2006-08-11,25325.991096842343,0.0,19832599.77414938,0,0.0
Z0646002,2006-08-11,126355.15866589392,0.0,19664822.83283696,0,0.0
Z1031001,2006-08-11,7232.718668015112,0.0,19956398.36384168,0,0.0
Z1524001,2006-08-11,59904.931835747455,0.0,19735498.667583693,0,0.0
Z0276001,2006-08-12,31108.57569929011,0.0,19739734.956462014,0,0.0
Z0386002,2006-08-12,40967.04872424286,0.0,19791632.72542514,0,0.0
Z0646002,2006-08-12,43213.875936956414,0.0,19621608.956900004,0,0.0
Z1031001,2006-08-12,5158.074047004589,0.0,19951240.289794676,0,0.0
Z1524001,2006-08-12,24319.529419780185,0.0,19711179.138163913,0,0.0
Z0276001,2006-08-13,10822.341358805177,0.0,19728912.615103208,0,0.0
Z0386002,2006-08-13,25849.078724009978,0.0,19765783.646701127,0,0.0
Z0646002,2006-08-13,26773.393801850303,0.0,19594835.563098155,0,0.0
Z1031001,2006-08-13,8820.554184730341,0.0,19942419.735609945,0,0.0
Z1524001,2006-08-13,25854.929146198312,0.0,19685324.209017716,0,0.0
Z0276001,2006-08-14,80371.03841814997,271087.3848967925,19919628.96158185,0,2710.873848967925
Z0386002,2006-08-14,93271.4380291799,234216.3532988727,19906728.56197082,0,2342.163532988727
Z0646002,2006-08-14,125891.43539306878,405164.43690184504,19874108.56460693,0,4051.6443690184506
Z1031001,2006-08-14,103168.15332038945,57580.26439005509,19896831.84667961,0,575.802643900551
Z1524001,2006-08-14,105106.26060598566,314675.79098228365,19894893.739394013,0,3146.7579098228366
Z0276001,2006-08-15,61565.17576764488,0.0,19858063.785814203,0,0.0
Z0386002,2006-08-15,66063.15773676411,0.0,19840665.404234055,0,0.0
Z0646002,2006-08-15,82929.16996584489,0.0,19791179.394641086,0,0.0
Z1031001,2006-08-15,51243.739374038945,0.0,19845588.10730557,0,0.0
Z1524001,2006-08-15,87980.44129391595,0.0,19806913.298100095,0,0.0
Z0276001,2006-08-16,58787.45376978905,0.0,19799276.332044415,0,0.0
Z0386002,2006-08-16,66912.49897061921,0.0,19773752.905263435,0,0.0
Z0646002,2006-08-16,112958.60458086527,0.0,19678220.790060222,0,0.0
Z1031001,2006-08-16,67045.4146808957,0.0,19778542.692624677,0,0.0
Z1524001,2006-08-16,86347.65837812987,0.0,19720565.639721964,0,0.0
Z0276001,2006-08-17,26231.61567474871,0.0,19773044.716369666,0,0.0
Z0386002,2006-08-17,34635.11540884201,0.0,19739117.789854594,0,0.0
Z0646002,2006-08-17,68304.88448977598,0.0,19609915.905570447,0,0.0
Z1031001,2006-08-17,21735.235342210886,0.0,19756807.457282465,0,0.0
Z1524001,2006-08-17,72333.4326068702,0.0,19648232.207115095,0,0.0
Z0276001,2006-08-18,26703.6466240245,0.0,19746341.06974564,0,0.0
Z0386002,2006-08-18,51949.46356223378,0.0,19687168.32629236,0,0.0
Z0646002,2006-08-18,103701.96903168446,0.0,19506213.936538763,0,0.0
Z1031001,2006-08-18,17117.933603935307,0.0,19739689.52367853,0,0.0
Z1524001,2006-08-18,57720.675482930936,0.0,19590511.531632163,0,0.0
Z0276001,2006-08-19,17740.116067441828,0.0,19728600.9536782,0,0.0
Z0386002,2006-08-19,17737.765238050957,0.0,19669430.561054308,0,0.0
Z0646002,2006-08-19,47303.102777613196,0.0,19458910.833761152,0,0.0
Z1031001,2006-08-19,3890.8858240125433,0.0,19735798.637854517,0,0.0
Z1524001,2006-08-19,10413.702451084035,0.0,19580097.82918108,0,0.0
Z0276001,2006-08-20,5721.825647926599,0.0,19722879.12803027,0,0.0
Z0386002,2006-08-20,8249.520486295181,0.0,19661181.040568013,0,0.0
Z0646002,2006-08-20,25562.26926344198,0.0,19433348.56449771,0,0.0
Z1031001,2006-08-20,3501.8671631708667,0.0,19732296.770691346,0,0.0
Z1524001,2006-08-20,14301.917625583868,0.0,19565795.911555495,0,0.0
Z0276001,2006-08-21,41251.41550744668,277120.87196972966,19958748.584492553,0,2771.2087196972966
Z0386002,2006-08-21,60757.33275700186,338818.95943198726,19939242.667242996,0,3388.1895943198724
Z0646002,2006-08-21,143353.12217850654,566651.4355022907,19856646.877821494,0,5666.514355022908
Z1031001,2006-08-21,51689.44966365505,267703.2293086536,19948310.550336346,0,2677.0322930865364
Z1524001,2006-08-21,63401.86941214389,434204.0884445049,19936598.130587857,0,4342.0408844450485
Z0276001,2006-08-22,32748.705369630705,0.0,19925999.879122924,0,0.0
Z0386002,2006-08-22,41781.01381039107,0.0,19897461.653432604,0,0.0
Z0646002,2006-08-22,75315.5615314938,0.0,19781331.31629,0,0.0
Z1031001,2006-08-22,25711.36238728226,0.0,19922599.187949065,0,0.0
Z1524001,2006-08-22,28413.52491329487,0.0,19908184.60567456,0,0.0
Z0276001,2006-08-23,24293.466774869124,0.0,19901706.412348054,0,0.0
Z0386002,2006-08-23,22885.1541053033,0.0,19874576.499327302,0,0.0
Z0646002,2006-08-23,35434.74528160927,0.0,19745896.571008388,0,0.0
Z1031001,2006-08-23,11755.789411205904,0.0,19910843.39853786,0,0.0
Z1524001,2006-08-23,29509.081438281413,0.0,19878675.52423628,0,0.0
Z0276001,2006-08-24,22486.088964522438,0.0,19879220.323383532,0,0.0
Z0386002,2006-08-24,24918.32174180166,0.0,19849658.1775855,0,0.0
Z0646002,2006-08-24,17668.472327686974,0.0,19728228.0986807,0,0.0
Z1031001,2006-08-24,10824.851624157243,0.0,19900018.546913702,0,0.0
Z1524001,2006-08-24,40805.64599283908,0.0,19837869.878243443,0,0.0
Z0276001,2006-08-25,22490.433096325803,0.0,19856729.890287206,0,0.0
Z0386002,2006-08-25,26527.706303105155,0.0,19823130.471282396,0,0.0
Z0646002,2006-08-25,22511.961524272854,0.0,19705716.137156427,0,0.0
Z1031001,2006-08-25,8975.907892221929,0.0,19891042.63902148,0,0.0
Z1524001,2006-08-25,28656.659706749306,0.0,19809213.218536694,0,0.0
Z0276001,2006-08-26,27830.650367685477,0.0,19828899.23991952,0,0.0
Z0386002,2006-08-26,26765.319260087977,0.0,19796365.15202231,0,0.0
Z0646002,2006-08-26,34194.708056233314,0.0,19671521.429100193,0,0.0
Z1031001,2006-08-26,5998.6491714491285,0.0,19885043.98985003,0,0.0
Z1524001,2006-08-26,49306.68505207189,0.0,19759906.533484623,0,0.0
Z0276001,2006-08-27,13123.320818092805,0.0,19815775.91910143,0,0.0
Z0386002,2006-08-27,13113.554347665233,0.0,19783251.597674645,0,0.0
Z0646002,2006-08-27,39072.48983354931,0.0,19632448.939266644,0,0.0
Z1031001,2006-08-27,3837.3011036896173,0.0,19881206.68874634,0,0.0
Z1524001,2006-08-27,59113.67812588758,0.0,19700792.855358735,0,0.0
Z0276001,2006-08-28,51559.68297551956,184224.08089857176,19948440.31702448,0,1842.2408089857176
Z0386002,2006-08-28,60466.16898588299,216748.40232535452,19939533.831014115,0,2167.4840232535453
Z0646002,2006-08-28,146200.6745534884,367551.0607333556,19853799.325446513,0,3675.510607333556
Z1031001,2006-08-28,8691.966079687354,118793.31125365943,19991308.033920314,0,1187.9331125365943
Z1524001,2006-08-28,107788.62489614087,299207.1446412653,19892211.375103857,0,2992.0714464126527
Z0276001,2006-08-29,45712.595353228404,0.0,19902727.721671253,0,0.0
Z0386002,2006-08-29,40900.186453038885,0.0,19898633.644561075,0,0.0
Z0646002,2006-08-29,67702.83604142381,0.0,19786096.489405088,0,0.0
Z1031001,2006-08-29,17380.57446385428,0.0,19973927.45945646,0,0.0
Z1524001,2006-08-29,59770.37808083574,0.0,19832440.99702302,0,0.0
Z0276001,2006-08-30,50462.15111298834,0.0,19852265.570558265,0,0.0
Z0386002,2006-08-30,29950.08422226178,0.0,19868683.560338814,0,0.0
Z0646002,2006-08-30,44289.082582609386,0.0,19741807.40682248,0,0.0
Z1031001,2006-08-30,13545.512693701521,0.0,19960381.946762756,0,0.0
Z1524001,2006-08-30,67204.62618497697,0.0,19765236.370838042,0,0.0
Z0276001,2006-08-31,33235.71442286986,0.0,19819029.856135394,0,0.0
Z0386002,2006-08-31,21303.624661078284,0.0,19847379.935677737,0,0.0
Z0646002,2006-08-31,22709.812960549792,0.0,19719097.59386193,0,0.0
Z1031001,2006-08-31,13433.483589923142,0.0,19946948.46317283,0,0.0
Z1524001,2006-08-31,26212.153090687305,0.0,19739024.217747357,0,0.0
Z0276001,2006-09-01,35737.253574640294,0.0,19783292.602560755,0,0.0
Z0386002,2006-09-01,25978.65289991798,0.0,19821401.28277782,0,0.0
Z0646002,2006-09-01,24001.508658335846,0.0,19695096.085203595,0,0.0
Z1031001,2006-09-01,8221.239796843058,0.0,19938727.223375987,0,0.0
Z1524001,2006-09-01,29809.56453843414,0.0,19709214.653208923,0,0.0
Z0276001,2006-09-02,22350.01865809682,0.0,19760942.583902657,0,0.0
Z0386002,2006-09-02,11131.424449448074,0.0,19810269.858328372,0,0.0
Z0646002,2006-09-02,29637.599095715235,0.0,19665458.48610788,0,0.0
Z1031001,2006-09-02,5718.691645538261,0.0,19933008.53173045,0,0.0
Z1524001,2006-09-02,8903.324617034266,0.0,19700311.328591887,0,0.0
Z0276001,2006-09-03,13220.411506551387,0.0,19747722.172396105,0,0.0
Z0386002,2006-09-03,5303.781713249336,0.0,19804966.07661512,0,0.0
Z0646002,2006-09-03,28083.962116655464,0.0,19637374.523991223,0,0.0
Z1031001,2006-09-03,7203.157126496305,0.0,19925805.374603953,0,0.0
Z1524001,2006-09-03,16284.910421190878,0.0,19684026.418170694,0,0.0
Z0276001,2006-09-04,34585.07643878959,252277.82760389522,19965414.92356121,0,2522.7782760389523
Z0386002,2006-09-04,37663.894992021545,195033.92338487878,19962336.10500798,0,1950.339233848788
Z0646002,2006-09-04,40598.04243433441,362625.4760087766,19959401.957565665,0,3626.254760087766
Z1031001,2006-09-04,12947.015153563649,74194.62539604679,19987052.984846435,0,741.9462539604679
Z1524001,2006-09-04,17006.70128700292,315973.58182930574,19982993.298713,0,3159.7358182930575
Z0276001,2006-09-05,30215.937174851086,0.0,19935198.98638636,0,0.0
Z0386002,2006-09-05,22643.380405579777,0.0,19939692.7246024,0,0.0
Z0646002,2006-09-05,35495.16372502185,0.0,19923906.793840643,0,0.0
Z1031001,2006-09-05,9610.92321907543,0.0,19977442.06162736,0,0.0
Z1524001,2006-09-05,11111.372311693221,0.0,19971881.926401306,0,0.0
Z0276001,2006-09-06,21460.31501797324,0.0,19913738.671368387,0,0.0
Z0386002,2006-09-06,19254.11074080286,0.0,19920438.613861598,0,0.0
Z0646002,2006-09-06,25317.186444861076,0.0,19898589.607395783,0,0.0
Z1031001,2006-09-06,7690.034015726626,0.0,19969752.027611632,0,0.0
Z1524001,2006-09-06,26190.07265947403,0.0,19945691.853741832,0,0.0
Z0276001,2006-09-07,22974.00769657185,0.0,19890764.663671814,0,0.0
Z0386002,2006-09-07,15676.97699235961,0.0,19904761.636869237,0,0.0
Z0646002,2006-09-07,16791.132630939188,0.0,19881798.474764843,0,0.0
Z1031001,2006-09-07,11467.430426113675,0.0,19958284.59718552,0,0.0
Z1524001,2006-09-07,22028.789270335394,0.0,19923663.064471498,0,0.0
Z0276001,2006-09-08,25418.19822937241,0.0,19865346.46544244,0,0.0
Z0386002,2006-09-08,18103.705510572545,0.0,19886657.931358665,0,0.0
Z0646002,2006-09-08,26097.30988170255,0.0,19855701.16488314,0,0.0
Z1031001,2006-09-08,8096.488469479124,0.0,19950188.10871604,0,0.0
Z1524001,2006-09-08,24331.23815671429,0.0,19899331.826314785,0,0.0
Z0276001,2006-09-09,42939.379850947735,0.0,19822407.085591495,0,0.0
Z0386002,2006-09-09,22898.45399371529,0.0,19863759.47736495,0,0.0
Z0646002,2006-09-09,29203.062388153056,0.0,19826498.10249499,0,0.0
Z1031001,2006-09-09,15181.279432047662,0.0,19935006.829283994,0,0.0
Z1524001,2006-09-09,19127.381274195835,0.0,19880204.445040587,0,0.0
Z0276001,2006-09-10,16177.815125982683,0.0,19806229.27046551,0,0.0
Z0386002,2006-09-10,11519.893283235531,0.0,19852239.584081713,0,0.0
Z0646002,2006-09-10,24101.437834386634,0.0,19802396.664660603,0,0.0
Z1031001,2006-09-10,8348.920245732796,0.0,19926657.90903826,0,0.0
Z1524001,2006-09-10,14785.773998193616,0.0,19865418.671042394,0,0.0
Z0276001,2006-09-11,86667.31420262788,193770.72953448817,19913332.68579737,0,1937.7072953448817
Z0386002,2006-09-11,92615.56562984658,147760.4159182869,19907384.434370153,0,1477.604159182869
Z0646002,2006-09-11,121498.64816264187,197603.3353393972,19878501.35183736,0,1976.033353393972
Z1031001,2006-09-11,72282.6799165362,73342.09096173942,19927717.320083465,0,733.4209096173943
Z1524001,2006-09-11,53210.04681191278,134581.3289576061,19946789.953188088,0,1345.8132895760612
Z0276001,2006-09-12,57212.99881437204,0.0,19856119.686983,0,0.0
Z0386002,2006-09-12,44734.219638644325,0.0,19862650.214731507,0,0.0
Z0646002,2006-09-12,82982.42526611553,0.0,19795518.926571243,0,0.0
Z1031001,2006-09-12,48223.08679786308,0.0,19879494.233285602,0,0.0
Z1524001,2006-09-12,63131.9127254022,0.0,19883658.040462684,0,0.0
Z0276001,2006-09-13,67601.36178324434,0.0,19788518.325199757,0,0.0
Z0386002,2006-09-13,64536.43120813199,0.0,19798113.783523373,0,0.0
Z0646002,2006-09-13,110433.86606911111,0.0,19685085.06050213,0,0.0
Z1031001,2006-09-13,58437.68637973343,0.0,19821056.546905868,0,0.0
Z1524001,2006-09-13,95588.0568763896,0.0,19788069.983586293,0,0.0
Z0276001,2006-09-14,36852.434114840646,0.0,19751665.891084917,0,0.0
Z0386002,2006-09-14,51982.98153991963,0.0,19746130.801983453,0,0.0
Z0646002,2006-09-14,89100.87043144103,0.0,19595984.19007069,0,0.0
Z1031001,2006-09-14,29265.19863201715,0.0,19791791.34827385,0,0.0
Z1524001,2006-09-14,76610.7962074007,0.0,19711459.18737889,0,0.0
Z0276001,2006-09-15,39621.14615262113,0.0,19712044.744932298,0,0.0
Z0386002,2006-09-15,86704.89390527422,0.0,19659425.90807818,0,0.0
Z0646002,2006-09-15,188494.52132801144,0.0,19407489.66874268,0,0.0
Z1031001,2006-09-15,30806.01397005194,0.0,19760985.3343038,0,0.0
Z1524001,2006-09-15,107578.6853108735,0.0,19603880.502068017,0,0.0
Z0276001,2006-09-16,21292.82572471554,0.0,19690751.91920758,0,0.0
Z0386002,2006-09-16,19143.032095563067,0.0,19640282.875982616,0,0.0
Z0646002,2006-09-16,56471.2524416739,0.0,19351018.416301005,0,0.0
Z1031001,2006-09-16,14902.833521910152,0.0,19746082.50078189,0,0.0
Z1524001,2006-09-16,30410.681156642004,0.0,19573469.820911374,0,0.0
Z0276001,2006-09-17,15985.090982941776,0.0,19674766.82822464,0,0.0
Z0386002,2006-09-17,7135.314590717326,0.0,19633147.561391897,0,0.0
Z0646002,2006-09-17,38338.86279798094,0.0,19312679.553503025,0,0.0
Z1031001,2006-09-17,6914.358278087553,0.0,19739168.1425038,0,0.0
Z1524001,2006-09-17,18491.883075253154,0.0,19554977.93783612,0,0.0
Z0276001,2006-09-18,54174.33885560682,325233.17177535966,19945825.661144394,0,3252.331717753597
Z0386002,2006-09-18,81475.97973989419,366852.4386081025,19918524.020260107,0,3668.524386081025
Z0646002,2006-09-18,131872.00190934722,687320.4464969747,19868127.998090655,0,6873.204464969747
Z1031001,2006-09-18,59807.1321421806,260831.85749619827,19940192.867857818,0,2608.318574961983
Z1524001,2006-09-18,88201.90500221487,445022.06216387823,19911798.094997786,0,4450.220621638782
Z0276001,2006-09-19,34545.68268681859,0.0,19911279.978457578,0,0.0
Z0386002,2006-09-19,32865.571800260805,0.0,19885658.448459845,0,0.0
Z0646002,2006-09-19,99078.68171655509,0.0,19769049.3163741,0,0.0
Z1031001,2006-09-19,34263.918661004696,0.0,19905928.94919681,0,0.0
Z1524001,2006-09-19,35865.76280465615,0.0,19875932.33219313,0,0.0
Z0276001,2006-09-20,25056.855432243156,0.0,19886223.123025335,0,0.0
Z0386002,2006-09-20,22415.66751432725,0.0,19863242.780945517,0,0.0
Z0646002,2006-09-20,98573.66493394466,0.0,19670475.651440155,0,0.0
Z1031001,2006-09-20,14289.12180657332,0.0,19891639.82739024,0,0.0
Z1524001,2006-09-20,26496.60930560592,0.0,19849435.722887523,0,0.0
Z0276001,2006-09-21,19849.460885494835,0.0,19866373.66213984,0,0.0
Z0386002,2006-09-21,26361.35390949597,0.0,19836881.42703602,0,0.0
Z0646002,2006-09-21,46727.23537509556,0.0,19623748.41606506,0,0.0
Z1031001,2006-09-21,13787.538388916248,0.0,19877852.289001323,0,0.0
Z1524001,2006-09-21,20227.0031275912,0.0,19829208.719759934,0,0.0
Z0276001,2006-09-22,22168.52399953337,0.0,19844205.138140306,0,0.0
Z0386002,2006-09-22,29102.138564926703,0.0,19807779.288471095,0,0.0
Z0646002,2006-09-22,37248.92907727905,0.0,19586499.48698778,0,0.0
Z1031001,2006-09-22,8999.621881934856,0.0,19868852.667119388,0,0.0
Z1524001,2006-09-22,26755.50700314913,0.0,19802453.212756783,0,0.0
Z0276001,2006-09-23,21855.12077672486,0.0,19822350.01736358,0,0.0
Z0386002,2006-09-23,22492.606802811475,0.0,19785286.681668285,0,0.0
Z0646002,2006-09-23,31141.157048747853,0.0,19555358.329939034,0,0.0
Z1031001,2006-09-23,5713.772501906742,0.0,19863138.89461748,0,0.0
Z1524001,2006-09-23,26224.289953962867,0.0,19776228.92280282,0,0.0
Z0276001,2006-09-24,14387.486792016083,0.0,19807962.530571565,0,0.0
Z0386002,2006-09-24,9841.756748555039,0.0,19775444.924919732,0,0.0
Z0646002,2006-09-24,30897.521005536655,0.0,19524460.808933496,0,0.0
Z1031001,2006-09-24,5797.423875141967,0.0,19857341.470742337,0,0.0
Z1524001,2006-09-24,27170.607320937655,0.0,19749058.315481883,0,0.0
Z0276001,2006-09-25,42689.929347407764,192037.46942843497,19957310.070652593,0,1920.3746942843497
Z0386002,2006-09-25,26743.329995063108,224555.07508026809,19973256.670004938,0,2245.550750802681
Z0646002,2006-09-25,110953.59989152722,475539.1910665035,19889046.40010847,0,4755.3919106650355
Z1031001,2006-09-25,15209.179906142246,142658.5292576626,19984790.82009386,0,1426.585292576626
Z1524001,2006-09-25,35293.31085614817,250941.68451811746,19964706.68914385,0,2509.4168451811747
Z0276001,2006-09-26,36310.09583610344,0.0,19920999.97481649,0,0.0
Z0386002,2006-09-26,27097.7457697418,0.0,19946158.924235195,0,0.0
Z0646002,2006-09-26,80119.01251706958,0.0,19808927.387591403,0,0.0
Z1031001,2006-09-26,16185.67809456512,0.0,19968605.141999293,0,0.0
Z1524001,2006-09-26,96324.21710102865,0.0,19868382.47204282,0,0.0
Z0276001,2006-09-27,45396.8752019796,0.0,19875603.099614512,0,0.0
Z0386002,2006-09-27,14891.099157371302,0.0,19931267.825077824,0,0.0
Z0646002,2006-09-27,143354.38424743558,0.0,19665573.003343966,0,0.0
Z1031001,2006-09-27,12887.190857510235,0.0,19955717.951141782,0,0.0
Z1524001,2006-09-27,183195.18126841699,0.0,19685187.290774405,0,0.0
Z0276001,2006-09-28,39428.36065946121,0.0,19836174.73895505,0,0.0
Z0386002,2006-09-28,22723.541991906433,0.0,19908544.283085916,0,0.0
Z0646002,2006-09-28,52399.231100442725,0.0,19613173.772243522,0,0.0
Z1031001,2006-09-28,14587.357344552274,0.0,19941130.59379723,0,0.0
Z1524001,2006-09-28,67273.03723712383,0.0,19617914.253537282,0,0.0
Z0276001,2006-09-29,36634.95340040675,0.0,19799539.785554644,0,0.0
Z0386002,2006-09-29,25940.03750309974,0.0,19882604.245582815,0,0.0
Z0646002,2006-09-29,69598.81510144426,0.0,19543574.957142077,0,0.0
Z1031001,2006-09-29,10296.797228220948,0.0,19930833.79656901,0,0.0
Z1524001,2006-09-29,43834.839667141634,0.0,19574079.41387014,0,0.0
Z0276001,2006-09-30,31438.743776071646,0.0,19768101.041778572,0,0.0
Z0386002,2006-09-30,21827.526386410063,0.0,19860776.719196405,0,0.0
Z0646002,2006-09-30,30346.2688202475,0.0,19513228.68832183,0,0.0
Z1031001,2006-09-30,9447.384949982801,0.0,19921386.411619026,0,0.0
Z1524001,2006-09-30,11797.366459922474,0.0,19562282.04741022,0,0.0
Z0276001,2006-10-01,16396.588170232822,0.0,19751704.453608338,0,0.0
Z0386002,2006-10-01,9585.762485058463,0.0,19851190.95671135,0,0.0
Z0646002,2006-10-01,18015.733059848644,0.0,19495212.95526198,0,0.0
Z1031001,2006-10-01,4682.319231486034,0.0,19916704.09238754,0,0.0
Z1524001,2006-10-01,13344.180912609376,0.0,19548937.86649761,0,0.0
Z0276001,2006-10-02,53315.781691586584,248295.5463916622,19946684.218308415,0,2482.955463916622
Z0386002,2006-10-02,41194.529536705486,148809.04328865185,19958805.470463295,0,1488.0904328865186
Z0646002,2006-10-02,46922.89174744844,504787.04473802075,19953077.10825255,0,5047.870447380207
Z1031001,2006-10-02,11874.2871705813,83295.9076124616,19988125.71282942,0,832.959076124616
Z1524001,2006-10-02,19911.167125537777,451062.13350239024,19980088.832874462,0,4510.621335023902
Z0276001,2006-10-03,28870.4509659906,0.0,19917813.767342426,0,0.0
Z0386002,2006-10-03,16327.69689697613,0.0,19942477.773566317,0,0.0
Z0646002,2006-10-03,24518.941292414966,0.0,19928558.166960135,0,0.0
