Model,Forecast_Multiplier,Total_Cost,CashOut_Days,Refill_Count,Total_Refilled,Delta_Cost_%,Delta_RefillCount,Delta_TotalRefilled,RefillDays_Jaccard_vs_Base
LSTM,0.9,1037940.4131400001,0,294,103794041.31400001,-10.216254608323972,-3,-11810449.076999992,0.97
LSTM,0.901,1039121.45735,0,294,103912145.735,-10.114092122593066,-3,-11692344.656000003,0.97
LSTM,0.902,1040302.5030400001,0,294,104030250.304,-10.011929508839435,-3,-11574240.086999997,0.97
LSTM,0.903,1041483.5477499999,0,294,104148354.77499999,-9.909766979857626,-3,-11456135.616000012,0.97
LSTM,0.904,1042664.5919700001,0,294,104266459.197,-9.807604493261678,-3,-11338031.194000006,0.97
LSTM,0.905,1043845.63794,0,294,104384563.794,-9.705441855287544,-3,-11219926.597000003,0.97
LSTM,0.906,1045026.6825000001,0,295,104502668.25,-9.60327933928099,-2,-11101822.141000003,0.9667774086378738
LSTM,0.907,1046207.72739,0,294,104620772.739,-9.501116794728837,-3,-10983717.65200001,0.97
LSTM,0.908,1047388.7718100001,0,294,104738877.181,-9.39895429083254,-3,-10865613.210000008,0.97
LSTM,0.909,1048569.81672,0,294,104856981.67199999,-9.296791744550347,-3,-10747508.719000012,0.97
LSTM,0.91,1049750.86094,0,294,104975086.09400001,-9.194629257954412,-3,-10629404.296999991,0.97
LSTM,0.911,1050931.90646,0,294,105093190.646,-9.092466658906107,-3,-10511299.745000005,0.97
LSTM,0.912,1052112.95208,0,294,105211295.208,-8.99030405120762,-3,-10393195.182999998,0.97
LSTM,0.913,1053293.99614,0,294,105329399.614,-8.88814157845198,-3,-10275090.77700001,0.97
LSTM,0.914,1054475.0402600002,0,294,105447504.026,-8.785979100506214,-3,-10156986.36500001,0.97
LSTM,0.915,1055656.08471,0,294,105565608.471,-8.683816594014871,-3,-10038881.920000002,0.97
LSTM,0.916,1056837.13226,0,294,105683713.22600001,-8.58165381936784,-3,-9920777.164999992,0.97
LSTM,0.917,1058018.1765,0,294,105801817.65,-8.479491331041878,-3,-9802672.740999997,0.97
LSTM,0.918,1059199.22095,0,295,105919922.095,-8.377328824550535,-2,-9684568.296000004,0.9667774086378738
LSTM,0.919,1060380.26548,0,294,106038026.54800001,-8.275166311139026,-3,-9566463.842999995,0.97
LSTM,0.92,1061561.31063,0,294,106156131.063,-8.173003744096397,-3,-9448359.328000009,0.97
LSTM,0.921,1062742.35658,0,294,106274235.65799999,-8.070841107852312,-3,-9330254.73300001,0.97
LSTM,0.922,1063923.40142,0,294,106392340.14199999,-7.968678567625231,-3,-9212150.249000013,0.97
LSTM,0.923,1065104.44618,0,294,106510444.618,-7.866516034318316,-3,-9094045.773000002,0.97
LSTM,0.924,1066285.48941,0,294,106628548.941,-7.7643536333592,-3,-8975941.450000003,0.97
LSTM,0.925,1067466.53456,0,295,106746653.456,-7.662191066316559,-2,-8857836.935000002,0.9667774086378738
LSTM,0.926,1068647.57999,0,294,106864757.99900001,-7.560028475053415,-3,-8739732.39199999,0.97
LSTM,0.927,1069828.62554,0,294,106982862.55399999,-7.457865873410052,-3,-8621627.837000012,0.97
LSTM,0.928,1071009.66958,0,294,107100966.958,-7.35570340238445,-3,-8503523.432999998,0.97
LSTM,0.929,1072190.71502,0,294,107219071.502,-7.253540810256287,-3,-8385418.888999999,0.97
LSTM,0.93,1073371.7617799998,0,294,107337176.178,-7.151378103945715,-3,-8267314.2129999995,0.97
LSTM,0.931,1074552.80562,0,294,107455280.56199999,-7.049215650220464,-3,-8149209.829000011,0.97
LSTM,0.932,1075733.84986,0,294,107573384.986,-6.947053161894501,-3,-8031105.405000001,0.97
LSTM,0.933,1076914.8946,0,294,107691489.46,-6.844890630317613,-3,-7913000.931000009,0.97
LSTM,0.934,1078095.93994,0,294,107809593.994,-6.742728046839641,-3,-7794896.397,0.97
LSTM,0.935,1079276.98389,0,294,107927698.389,-6.640565583599201,-3,-7676792.002000004,0.97
LSTM,0.936,1080458.02863,0,294,108045802.863,-6.538403052022312,-3,-7558687.527999997,0.97
LSTM,0.937,1081639.07268,0,294,108163907.268,-6.436240580131702,-3,-7440583.122999996,0.97
LSTM,0.938,1082820.1181,0,295,108282011.81,-6.334077989733567,-2,-7322478.581,0.9667774086378738
LSTM,0.939,1084001.1636700002,0,295,108400116.36699998,-6.2319153863601535,-2,-7204374.024000019,0.9667774086378738
LSTM,0.94,1085182.20932,0,294,108518220.932,-6.1297527760666215,-3,-7086269.459000006,0.97
LSTM,0.941,1086363.2550400002,0,294,108636325.50400001,-6.027590159717922,-3,-6968164.8869999945,0.97
LSTM,0.942,1087544.2989,0,294,108754429.89,-5.925427704262665,-3,-6850060.501000002,0.97
LSTM,0.943,1088725.34434,0,295,108872534.434,-5.823265112134502,-2,-6731955.957000002,0.9667774086378738
LSTM,0.944,1089906.3897000002,0,296,108990638.97,-5.721102526926469,-1,-6613851.421000004,0.9635761589403974
LSTM,0.945,1091087.4337300002,0,296,109108743.373,-5.6189400567658865,-1,-6495747.018000007,0.9635761589403974
LSTM,0.946,1092268.47898,0,296,109226847.898,-5.516777481073099,-1,-6377642.493000001,0.9635761589403974
LSTM,0.947,1093449.52504,0,296,109344952.50400001,-5.414614835313792,-1,-6259537.8869999945,0.9635761589403974
LSTM,0.948,1094630.56767,0,296,109463056.76699999,-5.31245248625577,-1,-6141433.624000013,0.9635761589403974
LSTM,0.949,1095811.61382,0,296,109581161.382,-5.210289832711301,-1,-6023329.009000003,0.9635761589403974
LSTM,0.95,1096992.65675,0,296,109699265.675,-5.108127457702727,-1,-5905224.716000006,0.9635761589403974
LSTM,0.951,1098173.7027,0,296,109817370.27000001,-5.0059648214586305,-1,-5787120.120999992,0.9635761589403974
LSTM,0.952,1099354.74715,0,296,109935474.715,-4.903802314967287,-1,-5669015.675999999,0.9635761589403974
LSTM,0.953,1100535.7928900002,0,296,110053579.289,-4.80163969688856,-1,-5550911.101999998,0.9635761589403974
LSTM,0.954,1101716.8375300001,0,295,110171683.75299999,-4.6994771739618635,-2,-5432806.638000011,0.9667774086378738
LSTM,0.955,1102897.8826600001,0,296,110289788.266,-4.597314608649262,-1,-5314702.125,0.9635761589403974
LSTM,0.956,1104078.9279300002,0,296,110407892.793,-4.495152031226402,-1,-5196597.598000005,0.9635761589403974
LSTM,0.957,1105259.9735599998,0,295,110525997.356,-4.392989422662918,-2,-5078493.034999996,0.9667774086378738
LSTM,0.958,1106441.01676,0,296,110644101.676,-4.290827024298838,-1,-4960388.715000004,0.9635761589403974
LSTM,0.959,1107622.0626,0,296,110762206.26,-4.188664397569941,-1,-4842284.130999997,0.9635761589403974
LSTM,0.96,1108803.1066496,0,297,110880310.66496,-4.086501925713925,0,-4724179.726040006,0.9603960396039604
LSTM,0.961,1109984.1512048,0,297,110998415.12048,-3.9843394101225837,0,-4606075.270520002,0.9603960396039604
LSTM,0.962,1111165.19588,0,296,111116519.588,-3.882176884151023,-1,-4487970.803000003,0.9570957095709571
LSTM,0.963,1112346.241675,0,296,111234624.1675,-3.7800142613147125,-1,-4369866.223499998,0.9570957095709571
LSTM,0.964,1113527.2866600002,0,296,111352728.66600001,-3.6778517085448548,-1,-4251761.724999994,0.9570957095709571
LSTM,0.965,1114708.3316559999,0,296,111470833.1656,-3.575689154823536,-1,-4133657.225400001,0.9570957095709571
LSTM,0.966,1115889.376751,0,295,111588937.6751,-3.4735265925384895,-2,-4015552.715900004,0.9602649006622517
LSTM,0.967,1117070.4230133,0,297,111707042.30133,-3.3713639292798803,0,-3897448.0896700025,1.0
LSTM,0.968,1118251.4672518,0,297,111825146.72518,-3.269201441083658,0,-3779343.6658200026,1.0
LSTM,0.969,1119432.51104,0,297,111943251.104,-3.1670389918392106,0,-3661239.2870000005,1.0
