ATM,Date,Refill_Amount,Stock,Refilled,Out_of_Cash,Day_Cost,Predicted_Withdrawal
1,2006-02-27,0.0,500000.0,0,0,0.0,0.0
1,2006-02-28,0.0,500000.0,0,0,0.0,0.0
1,2006-03-01,0.0,500000.0,0,0,0.0,0.0
1,2006-03-02,0.0,500000.0,0,0,0.0,0.0
1,2006-03-03,0.0,500000.0,0,0,0.0,0.0
1,2006-03-04,0.0,372930.15,0,0,0.0,127069.85478253802
1,2006-03-05,0.0,233326.67,0,0,0.0,139603.47992489758
2,2006-02-27,0.0,500000.0,0,0,0.0,0.0
2,2006-02-28,0.0,500000.0,0,0,0.0,0.0
2,2006-03-01,0.0,500000.0,0,0,0.0,0.0
2,2006-03-02,0.0,500000.0,0,0,0.0,0.0
2,2006-03-03,0.0,500000.0,0,0,0.0,0.0
2,2006-03-04,0.0,392389.98,0,0,0.0,107610.02451235158
2,2006-03-05,0.0,256795.73,0,0,0.0,135594.24090599688
3,2006-02-27,0.0,500000.0,0,0,0.0,0.0
3,2006-02-28,0.0,500000.0,0,0,0.0,0.0
3,2006-03-01,0.0,500000.0,0,0,0.0,0.0
3,2006-03-02,0.0,500000.0,0,0,0.0,0.0
3,2006-03-03,0.0,500000.0,0,0,0.0,0.0
3,2006-03-04,0.0,454060.47,0,0,0.0,45939.53257029828
3,2006-03-05,0.0,360650.8,0,0,0.0,93409.66441085468
4,2006-02-27,0.0,500000.0,0,0,0.0,0.0
4,2006-02-28,0.0,500000.0,0,0,0.0,0.0
4,2006-03-01,0.0,500000.0,0,0,0.0,0.0
4,2006-03-02,0.0,500000.0,0,0,0.0,0.0
4,2006-03-03,0.0,500000.0,0,0,0.0,0.0
4,2006-03-04,0.0,426059.82,0,0,0.0,73940.17707123846
4,2006-03-05,0.0,327453.32,0,0,0.0,98606.50586333228
5,2006-02-27,0.0,500000.0,0,0,0.0,0.0
5,2006-02-28,0.0,500000.0,0,0,0.0,0.0
5,2006-03-01,0.0,500000.0,0,0,0.0,0.0
5,2006-03-02,0.0,500000.0,0,0,0.0,0.0
5,2006-03-03,0.0,500000.0,0,0,0.0,0.0
5,2006-03-04,0.0,428213.79,0,0,0.0,71786.20742009167
5,2006-03-05,0.0,324488.75,0,0,0.0,103725.04191989628
1,2006-03-06,0.001,115872.42,1,0,1e-05,117454.2480808355
1,2006-03-07,276014.7,254945.39,1,0,2760.1470000000004,136941.73602064457
1,2006-03-08,0.0,120239.82,0,0,0.0,134705.5731513895
1,2006-03-09,0.0,0.0,0,0,0.0,120239.8158014638
1,2006-03-10,220847.74,115486.36,1,0,2208.4773999999998,105361.38025316362
1,2006-03-11,0.0,57549.644,0,0,0.0,57936.71853833723
1,2006-03-12,0.0,0.0,0,0,0.0,57549.6438992108
2,2006-03-06,519233.64,654679.98,1,0,5192.3364,121349.3835338408
2,2006-03-07,0.0,510728.02,0,0,0.0,143951.96361106762
2,2006-03-08,0.0,379318.84,0,0,0.0,131409.17938038608
2,2006-03-09,0.0,251471.87,0,0,0.0,127846.9718450238
2,2006-03-10,0.0,131931.19,0,0,0.0,119540.67392351868
2,2006-03-11,0.0,62315.48,0,0,0.0,69615.71429419165
2,2006-03-12,0.0,0.0,0,0,0.0,62315.4799912568
3,2006-03-06,0.0,320802.45,0,0,0.0,39848.35043033215
3,2006-03-07,0.0,275566.26,0,0,0.0,45236.19451834371
3,2006-03-08,0.0,237612.15,0,0,0.0,37954.102488214136
3,2006-03-09,0.0,195494.95,0,0,0.0,42117.20056275399
3,2006-03-10,0.0,153036.9,0,0,0.0,42458.0541173539
3,2006-03-11,0.0,152199.35,0,0,0.0,837.5456289184367
3,2006-03-12,0.0,137618.8,0,0,0.0,14580.549614828858
4,2006-03-06,0.0,296948.51,0,0,0.0,30504.8090258984
4,2006-03-07,0.0,246827.38,0,0,0.0,50121.13131769184
4,2006-03-08,0.0,180762.9,0,0,0.0,66064.4756228796
4,2006-03-09,0.0,110716.91,0,0,0.0,70045.99307453235
4,2006-03-10,0.0,43561.389,0,0,0.0,67155.52185284947
4,2006-03-11,0.0,35031.858,0,0,0.0,8529.531536659691
4,2006-03-12,0.0,18126.635,0,0,0.0,16905.222759971744
5,2006-03-06,26728.904,282539.28,1,0,267.28904,68678.37529952447
5,2006-03-07,0.0,178893.09,0,0,0.0,103646.18883829884
5,2006-03-08,0.0,84544.294,0,0,0.0,94348.79608738744
5,2006-03-09,0.0,0.0,0,0,0.0,84544.29361004938
5,2006-03-10,139111.03,69166.75,1,0,1391.1103,69944.28495150481
5,2006-03-11,0.0,40101.632,0,0,0.0,29065.117197116368
5,2006-03-12,0.0,0.0,0,0,0.0,40101.63233582886
1,2006-03-13,519425.24,473821.57,1,0,5194.2524,45603.66896254282
1,2006-03-14,0.0,424314.22,0,0,0.0,49507.35082640655
1,2006-03-15,0.0,368480.93,0,0,0.0,55833.28797011292
1,2006-03-16,0.0,290026.61,0,0,0.0,78454.31892618092
1,2006-03-17,0.0,194199.79,0,0,0.0,95826.8163027392
1,2006-03-18,0.0,85683.157,0,0,0.0,108516.63543984389
1,2006-03-19,0.0,0.0,0,0,0.0,85683.15698231506
2,2006-03-13,547857.57,494144.95,1,0,5478.575699999999,53712.62050559199
2,2006-03-14,0.0,424988.78,0,0,0.0,69156.16868323412
2,2006-03-15,0.0,351731.97,0,0,0.0,73256.81723794299
2,2006-03-16,0.0,263500.72,0,0,0.0,88231.24888022663
2,2006-03-17,0.0,172006.73,0,0,0.0,91493.98761696272
2,2006-03-18,0.0,83838.254,0,0,0.0,88168.47675937027
