Model,ATM,Date,Predicted_Withdrawal,Refill_Amount,Stock,Refilled,Out_of_Cash,Day_Cost
LSTM,Z0276001,2006-09-04,92990.51414111236,0.0,407009.49,0,0,0.0
LSTM,Z0276001,2006-09-05,66896.4208742507,0.0,340113.06,0,0,0.0
LSTM,Z0276001,2006-09-06,73960.09262932534,0.0,266152.97,0,0,0.0
LSTM,Z0276001,2006-09-07,31032.486832983624,0.0,235120.49,0,0,0.0
LSTM,Z0276001,2006-09-08,94904.05326579532,0.0,140216.43,0,0,0.0
LSTM,Z0276001,2006-09-09,39007.61244651823,0.0,101208.82,0,0,0.0
LSTM,Z0276001,2006-09-10,15554.301722940472,0.0,85654.518,0,0,0.0
LSTM,Z0386002,2006-09-04,55463.26145012632,0.0,444536.74,0,0,0.0
LSTM,Z0386002,2006-09-05,146593.2394204836,0.0,297943.5,0,0,0.0
LSTM,Z0386002,2006-09-06,18491.081557115802,0.0,279452.42,0,0,0.0
LSTM,Z0386002,2006-09-07,38768.6535588817,0.0,240683.76,0,0,0.0
LSTM,Z0386002,2006-09-08,47200.31773314621,0.0,193483.45,0,0,0.0
LSTM,Z0386002,2006-09-09,19286.02455237003,0.0,174197.42,0,0,0.0
LSTM,Z0386002,2006-09-10,20159.34422701402,0.0,154038.08,0,0,0.0
LSTM,Z0646002,2006-09-04,90739.13737785259,0.0,409260.86,0,0,0.0
LSTM,Z0646002,2006-09-05,108199.93586904478,0.0,301060.93,0,0,0.0
LSTM,Z0646002,2006-09-06,77130.56009246828,0.0,223930.37,0,0,0.0
LSTM,Z0646002,2006-09-07,35805.63827209954,0.0,188124.73,0,0,0.0
LSTM,Z0646002,2006-09-08,31583.315022208735,0.0,156541.41,0,0,0.0
LSTM,Z0646002,2006-09-09,27752.48074245301,0.0,128788.93,0,0,0.0
LSTM,Z0646002,2006-09-10,10429.220820877823,0.0,118359.71,0,0,0.0
LSTM,Z1031001,2006-09-04,69006.55118213921,0.0,430993.45,0,0,0.0
LSTM,Z1031001,2006-09-05,38633.85123269425,0.0,392359.6,0,0,0.0
LSTM,Z1031001,2006-09-06,9506.876665242622,0.0,382852.72,0,0,0.0
LSTM,Z1031001,2006-09-07,48690.85314088303,0.0,334161.87,0,0,0.0
LSTM,Z1031001,2006-09-08,37307.74754497395,0.0,296854.12,0,0,0.0
LSTM,Z1031001,2006-09-09,5866.91280749648,0.0,290987.21,0,0,0.0
LSTM,Z1031001,2006-09-10,6972.044082904648,0.0,284015.16,0,0,0.0
LSTM,Z1524001,2006-09-04,34556.406916002794,0.0,465443.59,0,0,0.0
LSTM,Z1524001,2006-09-05,61841.66463757349,0.0,403601.93,0,0,0.0
LSTM,Z1524001,2006-09-06,59229.88490473929,0.0,344372.04,0,0,0.0
LSTM,Z1524001,2006-09-07,26864.563816845282,0.0,317507.48,0,0,0.0
LSTM,Z1524001,2006-09-08,45625.59551916785,0.0,271881.88,0,0,0.0
LSTM,Z1524001,2006-09-09,26883.193788249446,0.0,244998.69,0,0,0.0
LSTM,Z1524001,2006-09-10,39335.1103954834,0.0,205663.58,0,0,0.0
LSTM,Z0276001,2006-09-11,125313.89135271756,367762.69,328103.32,1,0,3677.6269
LSTM,Z0276001,2006-09-12,65876.85445443839,0.0,262226.47,0,0,0.0
LSTM,Z0276001,2006-09-13,66893.74913809335,0.0,195332.72,0,0,0.0
LSTM,Z0276001,2006-09-14,30101.748293827786,0.0,165230.97,0,0,0.0
LSTM,Z0276001,2006-09-15,104351.77925025256,0.0,60879.19,0,0,0.0
LSTM,Z0276001,2006-09-16,44494.62228619236,0.0,16384.568,0,0,0.0
LSTM,Z0276001,2006-09-17,16384.567980349464,0.0,0.0,0,0,0.0
LSTM,Z0386002,2006-09-11,48719.653541283325,271453.08,376771.5,1,0,2714.5308
LSTM,Z0386002,2006-09-12,196426.44515376593,0.0,180345.06,0,0,0.0
LSTM,Z0386002,2006-09-13,26337.309461396482,0.0,154007.75,0,0,0.0
LSTM,Z0386002,2006-09-14,61647.07826524748,0.0,92360.669,0,0,0.0
LSTM,Z0386002,2006-09-15,51985.966158214615,0.0,40374.703,0,0,0.0
LSTM,Z0386002,2006-09-16,21039.772446368275,0.0,19334.93,0,0,0.0
LSTM,Z0386002,2006-09-17,19334.930477563958,0.0,0.0,0,0,0.0
LSTM,Z0646002,2006-09-11,90157.04255662934,0.001,28202.668,1,0,1e-05
LSTM,Z0646002,2006-09-12,78080.90392024738,283721.12,233842.88,1,0,2837.2112
LSTM,Z0646002,2006-09-13,100475.61940261848,0.001,133367.26,1,0,1e-05
LSTM,Z0646002,2006-09-14,47787.89762210799,0.0,85579.365,0,0,0.0
LSTM,Z0646002,2006-09-15,47545.07773862108,0.0,38034.287,0,0,0.0
LSTM,Z0646002,2006-09-16,29374.995947183343,0.0,8659.2912,0,0,0.0
LSTM,Z0646002,2006-09-17,8659.291218792438,0.0,0.0,0,0,0.0
LSTM,Z1031001,2006-09-11,82233.93235332737,0.0,201781.23,0,0,0.0
LSTM,Z1031001,2006-09-12,57674.549553334,0.0,144106.68,0,0,0.0
LSTM,Z1031001,2006-09-13,13460.169338207794,0.0,130646.51,0,0,0.0
LSTM,Z1031001,2006-09-14,69238.2869816345,0.0,61408.222,0,0,0.0
LSTM,Z1031001,2006-09-15,34599.8221861779,0.0,26808.4,0,0,0.0
LSTM,Z1031001,2006-09-16,8549.621904566213,0.0,18258.778,0,0,0.0
LSTM,Z1031001,2006-09-17,10220.505827142684,0.0,8038.2719,0,0,0.0
LSTM,Z1524001,2006-09-11,45188.26455495881,0.0,160475.32,0,0,0.0
LSTM,Z1524001,2006-09-12,67592.78087934965,0.0,92882.535,0,0,0.0
LSTM,Z1524001,2006-09-13,36624.93304178783,0.0,56257.602,0,0,0.0
LSTM,Z1524001,2006-09-14,46225.737797106936,0.0,10031.864,0,0,0.0
