Model      ATM       Date  Predicted_Withdrawal  Refill_Amount   Stock  Refilled  Out_of_Cash  Day_Cost
 LSTM Z0276001 2006-09-04                58,835              0 441,165         0            0         0
 LSTM Z0276001 2006-09-05                45,543              0 395,622         0            0         0
 LSTM Z0276001 2006-09-06                56,989              0 338,633         0            0         0
 LSTM Z0276001 2006-09-07                33,594              0 305,039         0            0         0
 LSTM Z0276001 2006-09-08                81,792              0 223,248         0            0         0
 LSTM Z0276001 2006-09-09                38,867              0 184,381         0            0         0
 LSTM Z0276001 2006-09-10                14,299              0 170,082         0            0         0
 LSTM Z0386002 2006-09-04                83,445              0 416,555         0            0         0
 LSTM Z0386002 2006-09-05                35,718              0 380,837         0            0         0
 LSTM Z0386002 2006-09-06               200,811              0 180,027         0            0         0
 LSTM Z0386002 2006-09-07                24,090              0 155,937         0            0         0
 LSTM Z0386002 2006-09-08                57,593              0  98,344         0            0         0
 LSTM Z0386002 2006-09-09                40,127              0  58,216         0            0         0
 LSTM Z0386002 2006-09-10                17,142              0  41,074         0            0         0
 LSTM Z0646002 2006-09-04                90,756              0 409,244         0            0         0
 LSTM Z0646002 2006-09-05               117,634        166,616 458,226         1            0     1,666
 LSTM Z0646002 2006-09-06               190,282              0 267,944         0            0         0
 LSTM Z0646002 2006-09-07                94,402              0 173,542         0            0         0
 LSTM Z0646002 2006-09-08               115,944              0  57,599         0            0         0
 LSTM Z0646002 2006-09-09                28,604              0  28,995         0            0         0
 LSTM Z0646002 2006-09-10                28,995              0       0         0            0         0
 LSTM Z1031001 2006-09-04                24,528              0 475,472         0            0         0
 LSTM Z1031001 2006-09-05                18,644              0 456,829         0            0         0
 LSTM Z1031001 2006-09-06                 3,808              0 453,021         0            0         0
 LSTM Z1031001 2006-09-07                54,123              0 398,898         0            0         0
 LSTM Z1031001 2006-09-08                35,984              0 362,915         0            0         0
 LSTM Z1031001 2006-09-09                23,123              0 339,792         0            0         0
 LSTM Z1031001 2006-09-10                13,498              0 326,294         0            0         0
 LSTM Z1524001 2006-09-04                39,089              0 460,911         0            0         0
 LSTM Z1524001 2006-09-05                47,679              0 413,232         0            0         0
 LSTM Z1524001 2006-09-06                77,570              0 335,661         0            0         0
 LSTM Z1524001 2006-09-07                22,290              0 313,371         0            0         0
 LSTM Z1524001 2006-09-08                28,826              0 284,545         0            0         0
 LSTM Z1524001 2006-09-09                25,973              0 258,572         0            0         0
 LSTM Z1524001 2006-09-10                20,719              0 237,853         0            0         0
 LSTM Z0276001 2006-09-11                61,163              0 108,919         0            0         0
 LSTM Z0276001 2006-09-12                48,336              0  60,583         0            0         0
 LSTM Z0276001 2006-09-13                54,277        169,668 175,973         1            0     1,697
 LSTM Z0276001 2006-09-14                34,641              0 141,333         0            0         0
 LSTM Z0276001 2006-09-15                89,992              0  51,341         0            0         0
 LSTM Z0276001 2006-09-16                39,337              0  12,004         0            0         0
 LSTM Z0276001 2006-09-17                12,004              0       0         0            0         0
 LSTM Z0386002 2006-09-11               148,208        645,473 538,340         1            0     6,455
 LSTM Z0386002 2006-09-12                40,898              0 497,441         0            0         0
 LSTM Z0386002 2006-09-13               321,298              0 176,144         0            0         0
 LSTM Z0386002 2006-09-14                29,162              0 146,981         0            0         0
 LSTM Z0386002 2006-09-15                61,885              0  85,096         0            0         0
 LSTM Z0386002 2006-09-16                62,974              0  22,122         0            0         0
 LSTM Z0386002 2006-09-17                22,122              0       0         0            0         0
 LSTM Z0646002 2006-09-11               113,990        675,683 561,693         1            0     6,757
 LSTM Z0646002 2006-09-12               126,164              0 435,529         0            0         0
 LSTM Z0646002 2006-09-13               162,649              0 272,880         0            0         0
 LSTM Z0646002 2006-09-14               126,876              0 146,003         0            0         0
 LSTM Z0646002 2006-09-15                87,077              0  58,927         0            0         0
 LSTM Z0646002 2006-09-16                29,432         10,000  39,494         1            0       100
 LSTM Z0646002 2006-09-17                39,494              0       0         0            0         0
 LSTM Z1031001 2006-09-11                19,272              0 307,021         0            0         0
 LSTM Z1031001 2006-09-12                19,106              0 287,916         0            0         0
 LSTM Z1031001 2006-09-13                 3,563              0 284,353         0            0         0
 LSTM Z1031001 2006-09-14                41,099              0 243,254         0            0         0
 LSTM Z1031001 2006-09-15                51,653              0 191,601         0            0         0
 LSTM Z1031001 2006-09-16                34,640              0 156,961         0            0         0
 LSTM Z1031001 2006-09-17                14,222              0 142,739         0            0         0
 LSTM Z1524001 2006-09-11                61,458         38,752 215,146         1            0       388
 LSTM Z1524001 2006-09-12                58,118              0 157,029         0            0         0
 LSTM Z1524001 2006-09-13               127,882              0  29,146         0            0         0
 LSTM Z1524001 2006-09-14                29,146              0       0         0            0         0
 LSTM Z1524001 2006-09-15                28,000         28,000       0         1            0       280
 LSTM Z1524001 2006-09-16                30,725         45,077  14,352         1            0       451
 LSTM Z1524001 2006-09-17                14,352              0       0         0            0         0
 LSTM Z0276001 2006-09-18                60,407        338,072 277,665         1            0     3,381
 LSTM Z0276001 2006-09-19                36,165              0 241,500         0            0         0
 LSTM Z0276001 2006-09-20                49,380              0 192,120         0            0         0
 LSTM Z0276001 2006-09-21                44,564              0 147,556         0            0         0
 LSTM Z0276001 2006-09-22                92,890              0  54,666         0            0         0
 LSTM Z0276001 2006-09-23                40,499              0  14,167         0            0         0
 LSTM Z0276001 2006-09-24                14,167              0       0         0            0         0
 LSTM Z0386002 2006-09-18               104,238        412,585 308,347         1            0     4,126
 LSTM Z0386002 2006-09-19                42,393              0 265,954         0            0         0
 LSTM Z0386002 2006-09-20               143,632              0 122,322         0            0         0
 LSTM Z0386002 2006-09-21                24,792              0  97,529         0            0         0
 LSTM Z0386002 2006-09-22                45,195              0  52,334         0            0         0
 LSTM Z0386002 2006-09-23                33,173              0  19,161         0            0         0
