Model,ATM,Date,Predicted_Withdrawal,Refill_Amount,Stock,Refilled,Out_of_Cash,Day_Cost
LinearRegression,Z0276001,2006-08-07,40213.58316971267,0.0,459786.42,0,0,0.0
LinearRegression,Z0276001,2006-08-08,37007.19567917599,0.0,422779.22,0,0,0.0
LinearRegression,Z0276001,2006-08-09,45237.11109199694,0.0,377542.11,0,0,0.0
LinearRegression,Z0276001,2006-08-10,44515.87341421978,0.0,333026.24,0,0,0.0
LinearRegression,Z0276001,2006-08-11,47541.00730564095,0.0,285485.23,0,0,0.0
LinearRegression,Z0276001,2006-08-12,42269.286626148816,0.0,243215.94,0,0,0.0
LinearRegression,Z0276001,2006-08-13,12103.528789698481,0.0,231112.41,0,0,0.0
LinearRegression,Z0386002,2006-08-07,28407.7654103476,0.0,471592.23,0,0,0.0
LinearRegression,Z0386002,2006-08-08,29783.549893258158,0.0,441808.68,0,0,0.0
LinearRegression,Z0386002,2006-08-09,34217.22226122381,0.0,407591.46,0,0,0.0
LinearRegression,Z0386002,2006-08-10,29812.851669606312,0.0,377778.61,0,0,0.0
LinearRegression,Z0386002,2006-08-11,38984.011944858095,0.0,338794.6,0,0,0.0
LinearRegression,Z0386002,2006-08-12,44313.55219521544,0.0,294481.05,0,0,0.0
LinearRegression,Z0386002,2006-08-13,27903.74965657766,0.0,266577.3,0,0,0.0
LinearRegression,Z0646002,2006-08-07,53940.94731848049,0.0,446059.05,0,0,0.0
LinearRegression,Z0646002,2006-08-08,52880.03425391583,0.0,393179.02,0,0,0.0
LinearRegression,Z0646002,2006-08-09,83338.93192218927,0.0,309840.09,0,0,0.0
LinearRegression,Z0646002,2006-08-10,55115.05594975254,0.0,254725.03,0,0,0.0
LinearRegression,Z0646002,2006-08-11,89365.80774763739,0.0,165359.22,0,0,0.0
LinearRegression,Z0646002,2006-08-12,36211.94651550027,0.0,129147.28,0,0,0.0
LinearRegression,Z0646002,2006-08-13,25107.85029032944,0.0,104039.43,0,0,0.0
LinearRegression,Z1031001,2006-08-07,10491.099584687685,0.0,489508.9,0,0,0.0
LinearRegression,Z1031001,2006-08-08,12079.460423435261,0.0,477429.44,0,0,0.0
LinearRegression,Z1031001,2006-08-09,18099.24210187212,0.0,459330.2,0,0,0.0
LinearRegression,Z1031001,2006-08-10,14582.641983033429,0.0,444747.56,0,0,0.0
LinearRegression,Z1031001,2006-08-11,18129.291340996286,0.0,426618.26,0,0,0.0
LinearRegression,Z1031001,2006-08-12,13225.388409330491,0.0,413392.88,0,0,0.0
LinearRegression,Z1031001,2006-08-13,11485.656333347804,0.0,401907.22,0,0,0.0
LinearRegression,Z1524001,2006-08-07,27371.21909156912,0.0,472628.78,0,0,0.0
LinearRegression,Z1524001,2006-08-08,28209.980590329567,0.0,444418.8,0,0,0.0
LinearRegression,Z1524001,2006-08-09,44714.70324262568,0.0,399704.1,0,0,0.0
LinearRegression,Z1524001,2006-08-10,60891.59442433475,0.0,338812.5,0,0,0.0
LinearRegression,Z1524001,2006-08-11,59453.20138520065,0.0,279359.3,0,0,0.0
LinearRegression,Z1524001,2006-08-12,55457.79886565623,0.0,223901.5,0,0,0.0
LinearRegression,Z1524001,2006-08-13,23934.45912858584,0.0,199967.04,0,0,0.0
LinearRegression,Z0276001,2006-08-14,70823.35574018773,0.0,160289.05,0,0,0.0
LinearRegression,Z0276001,2006-08-15,74446.11578472206,0.0,85842.938,0,0,0.0
LinearRegression,Z0276001,2006-08-16,58085.56128424632,0.0,27757.377,0,0,0.0
LinearRegression,Z0276001,2006-08-17,34149.76636320129,73291.844,66899.455,1,0,732.91844
LinearRegression,Z0276001,2006-08-18,41780.950978553614,0.0,25118.504,0,0,0.0
LinearRegression,Z0276001,2006-08-19,14243.270780095012,0.0,10875.233,0,0,0.0
LinearRegression,Z0276001,2006-08-20,10875.233342936139,0.0,0.0,0,0,0.0
LinearRegression,Z0386002,2006-08-14,80860.5025560087,0.0,185716.8,0,0,0.0
LinearRegression,Z0386002,2006-08-15,70951.5850446583,0.0,114765.21,0,0,0.0
LinearRegression,Z0386002,2006-08-16,64878.310955775385,0.0,49886.901,0,0,0.0
LinearRegression,Z0386002,2006-08-17,44458.03299285399,0.0,5428.8685,0,0,0.0
LinearRegression,Z0386002,2006-08-18,45318.24526629365,69380.188,29490.811,1,0,693.80188
LinearRegression,Z0386002,2006-08-19,13670.207544580926,0.001,15820.604,1,0,1e-05
LinearRegression,Z0386002,2006-08-20,15820.604276228914,0.0,0.0,0,0,0.0
LinearRegression,Z0646002,2006-08-14,134892.64605768898,500549.46,469696.24,1,0,5005.4946
LinearRegression,Z0646002,2006-08-15,104155.33347490287,0.0,365540.91,0,0,0.0
LinearRegression,Z0646002,2006-08-16,134045.3640838419,0.0,231495.55,0,0,0.0
LinearRegression,Z0646002,2006-08-17,94127.73163240422,0.0,137367.82,0,0,0.0
LinearRegression,Z0646002,2006-08-18,84135.2812987561,0.0,53232.534,0,0,0.0
LinearRegression,Z0646002,2006-08-19,38368.61111511032,0.0,14863.923,0,0,0.0
LinearRegression,Z0646002,2006-08-20,14863.922671220598,0.0,0.0,0,0,0.0
LinearRegression,Z1031001,2006-08-14,78597.64863126706,0.0,323309.57,0,0,0.0
LinearRegression,Z1031001,2006-08-15,70784.22543176671,0.0,252525.35,0,0,0.0
LinearRegression,Z1031001,2006-08-16,42705.97302910512,0.0,209819.37,0,0,0.0
LinearRegression,Z1031001,2006-08-17,18241.8669307646,0.0,191577.51,0,0,0.0
LinearRegression,Z1031001,2006-08-18,12136.468929699304,0.0,179441.04,0,0,0.0
LinearRegression,Z1031001,2006-08-19,8017.1291111069995,0.0,171423.91,0,0,0.0
LinearRegression,Z1031001,2006-08-20,5571.369207289755,0.0,165852.54,0,0,0.0
LinearRegression,Z1524001,2006-08-14,87903.9938954384,81875.199,193938.25,1,0,818.75199
LinearRegression,Z1524001,2006-08-15,66903.87281555487,0.0,127034.37,0,0,0.0
LinearRegression,Z1524001,2006-08-16,73613.34041400377,0.0,53421.032,0,0,0.0
LinearRegression,Z1524001,2006-08-17,53421.03182683536,0.0,0.0,0,0,0.0
LinearRegression,Z1524001,2006-08-18,43532.3490175181,76287.753,32755.404,1,0,762.87753
LinearRegression,Z1524001,2006-08-19,22690.931712776306,0.0,10064.472,0,0,0.0
LinearRegression,Z1524001,2006-08-20,10064.471975980647,0.0,0.0,0,0,0.0
LinearRegression,Z0276001,2006-08-21,46337.66161923189,209396.34,163058.67,1,0,2093.9634
LinearRegression,Z0276001,2006-08-22,28082.609129261866,0.0,134976.06,0,0,0.0
LinearRegression,Z0276001,2006-08-23,27657.269756388327,0.0,107318.8,0,0,0.0
LinearRegression,Z0276001,2006-08-24,33024.73154748883,0.0,74294.064,0,0,0.0
LinearRegression,Z0276001,2006-08-25,38060.668991258164,0.0,36233.395,0,0,0.0
LinearRegression,Z0276001,2006-08-26,25772.06110658809,0.0,10461.334,0,0,0.0
LinearRegression,Z0276001,2006-08-27,10461.333570469867,0.0,0.0,0,0,0.0
LinearRegression,Z0386002,2006-08-21,33928.058399816815,164213.56,130285.5,1,0,1642.1356
LinearRegression,Z0386002,2006-08-22,26589.007470069715,0.0,103696.49,0,0,0.0
LinearRegression,Z0386002,2006-08-23,21578.475325868127,0.0,82118.015,0,0,0.0
LinearRegression,Z0386002,2006-08-24,16563.232977200754,0.0,65554.782,0,0,0.0
LinearRegression,Z0386002,2006-08-25,22430.806613383305,0.0,43123.976,0,0,0.0
LinearRegression,Z0386002,2006-08-26,13191.932468444194,0.0,29932.043,0,0,0.0
LinearRegression,Z0386002,2006-08-27,29932.04325622858,0.0,0.0,0,0,0.0
LinearRegression,Z0646002,2006-08-21,85062.60419078101,324062.75,239000.15,1,0,3240.6275
LinearRegression,Z0646002,2006-08-22,45795.12976032281,0.0,193205.02,0,0,0.0
LinearRegression,Z0646002,2006-08-23,35541.151788119976,0.0,157663.87,0,0,0.0
LinearRegression,Z0646002,2006-08-24,35542.045649928084,0.0,122121.82,0,0,0.0
LinearRegression,Z0646002,2006-08-25,39140.032648209184,0.0,82981.791,0,0,0.0
LinearRegression,Z0646002,2006-08-26,43353.26234026683,0.0,39628.528,0,0,0.0
LinearRegression,Z0646002,2006-08-27,39628.52839430997,0.0,0.0,0,0,0.0
LinearRegression,Z1031001,2006-08-21,36236.83594598784,0.0,129615.7,0,0,0.0
LinearRegression,Z1031001,2006-08-22,18057.151281659186,0.0,111558.55,0,0,0.0
LinearRegression,Z1031001,2006-08-23,7448.847675852794,0.0,104109.71,0,0,0.0
LinearRegression,Z1031001,2006-08-24,3633.9839972851996,0.0,100475.72,0,0,0.0
LinearRegression,Z1031001,2006-08-25,3855.3505323455333,0.0,96620.371,0,0,0.0
LinearRegression,Z1031001,2006-08-26,7570.307765992623,0.0,89050.063,0,0,0.0
LinearRegression,Z1031001,2006-08-27,3935.566174870384,0.0,85114.497,0,0,0.0
LinearRegression,Z1524001,2006-08-21,49055.45562639654,301765.64,252710.18,1,0,3017.6564000000003
LinearRegression,Z1524001,2006-08-22,39468.21746499306,0.0,213241.97,0,0,0.0
LinearRegression,Z1524001,2006-08-23,40538.32827644491,0.0,172703.64,0,0,0.0
LinearRegression,Z1524001,2006-08-24,33721.2166374561,0.0,138982.42,0,0,0.0
LinearRegression,Z1524001,2006-08-25,38586.96730442381,0.0,100395.45,0,0,0.0
LinearRegression,Z1524001,2006-08-26,69852.30808597275,0.0,30543.145,0,0,0.0
LinearRegression,Z1524001,2006-08-27,30543.144844394898,0.0,0.0,0,0,0.0
LinearRegression,Z0276001,2006-08-28,60464.950071369625,272754.1,212289.15,1,0,2727.5409999999997
LinearRegression,Z0276001,2006-08-29,44175.285405549956,0.0,168113.86,0,0,0.0
LinearRegression,Z0276001,2006-08-30,54016.3261601616,0.0,114097.54,0,0,0.0
LinearRegression,Z0276001,2006-08-31,38544.92876514911,0.0,75552.608,0,0,0.0
LinearRegression,Z0276001,2006-09-01,44014.22115494685,0.0,31538.387,0,0,0.0
LinearRegression,Z0276001,2006-09-02,21987.41033710791,0.0,9550.9763,0,0,0.0
LinearRegression,Z0276001,2006-09-03,9550.976255481013,0.0,0.0,0,0,0.0
LinearRegression,Z0386002,2006-08-28,88854.38029926199,246513.67,157659.29,1,0,2465.1367
LinearRegression,Z0386002,2006-08-29,51482.51217606232,0.0,106176.78,0,0,0.0
LinearRegression,Z0386002,2006-08-30,43826.75457565992,0.0,62350.022,0,0,0.0
LinearRegression,Z0386002,2006-08-31,21577.332496952033,0.0,40772.689,0,0,0.0
LinearRegression,Z0386002,2006-09-01,24230.80214055981,0.0,16541.887,0,0,0.0
LinearRegression,Z0386002,2006-09-02,9662.458732081395,0.0,6879.4281,0,0,0.0
LinearRegression,Z0386002,2006-09-03,6879.428144544822,0.0,0.0,0,0,0.0
LinearRegression,Z0646002,2006-08-28,101383.67997440073,431424.66,330040.98,1,0,4314.2465999999995
LinearRegression,Z0646002,2006-08-29,117817.22222898727,0.0,212223.75,0,0,0.0
LinearRegression,Z0646002,2006-08-30,83141.63941656376,0.0,129082.11,0,0,0.0
LinearRegression,Z0646002,2006-08-31,42220.869409710656,0.0,86861.245,0,0,0.0
LinearRegression,Z0646002,2006-09-01,43755.46130506832,0.0,43105.783,0,0,0.0
LinearRegression,Z0646002,2006-09-02,35102.18706823682,0.0,8003.5962,0,0,0.0
LinearRegression,Z0646002,2006-09-03,8003.596220676321,0.0,0.0,0,0,0.0
LinearRegression,Z1031001,2006-08-28,19711.269846391824,0.0,65403.227,0,0,0.0
LinearRegression,Z1031001,2006-08-29,8828.409922046789,0.0,56574.817,0,0,0.0
LinearRegression,Z1031001,2006-08-30,8140.793062208592,0.0,48434.024,0,0,0.0
LinearRegression,Z1031001,2006-08-31,10659.522087489688,0.0,37774.502,0,0,0.0
LinearRegression,Z1031001,2006-09-01,4107.754747727084,0.0,33666.747,0,0,0.0
LinearRegression,Z1031001,2006-09-02,11404.564957287595,0.0,22262.182,0,0,0.0
LinearRegression,Z1031001,2006-09-03,3703.378390776007,0.0,18558.804,0,0,0.0
LinearRegression,Z1524001,2006-08-28,73663.18862617285,281081.26,207418.07,1,0,2810.8126
LinearRegression,Z1524001,2006-08-29,51187.64118425276,0.0,156230.43,0,0,0.0
LinearRegression,Z1524001,2006-08-30,58492.41250785084,0.0,97738.019,0,0,0.0
LinearRegression,Z1524001,2006-08-31,36085.82167604709,0.0,61652.198,0,0,0.0
LinearRegression,Z1524001,2006-09-01,39093.7383243076,0.0,22558.459,0,0,0.0
LinearRegression,Z1524001,2006-09-02,13332.610427127152,0.0,9225.8488,0,0,0.0
LinearRegression,Z1524001,2006-09-03,9225.848758628248,0.0,0.0,0,0,0.0
LinearRegression,Z0276001,2006-09-04,36271.89430659484,207804.85,171532.96,1,0,2078.0485
LinearRegression,Z0276001,2006-09-05,25660.659298208033,0.0,145872.3,0,0,0.0
LinearRegression,Z0276001,2006-09-06,24807.824540754507,0.0,121064.47,0,0,0.0
LinearRegression,Z0276001,2006-09-07,35796.78675903581,0.0,85267.687,0,0,0.0
LinearRegression,Z0276001,2006-09-08,39758.65375871688,0.0,45509.033,0,0,0.0
LinearRegression,Z0276001,2006-09-09,36822.17906357402,0.0,8686.8542,0,0,0.0
LinearRegression,Z0276001,2006-09-10,8686.854189511587,0.0,0.0,0,0,0.0
LinearRegression,Z0386002,2006-09-04,29083.200165249465,170240.38,141157.18,1,0,1702.4038
LinearRegression,Z0386002,2006-09-05,26578.287409674467,0.0,114578.89,0,0,0.0
LinearRegression,Z0386002,2006-09-06,22956.545878057368,0.0,91622.349,0,0,0.0
LinearRegression,Z0386002,2006-09-07,18753.368635994524,0.0,72868.98,0,0,0.0
LinearRegression,Z0386002,2006-09-08,24569.143678783432,0.0,48299.836,0,0,0.0
LinearRegression,Z0386002,2006-09-09,21190.23391794668,0.0,27109.602,0,0,0.0
LinearRegression,Z0386002,2006-09-10,27109.602477463217,0.0,0.0,0,0,0.0
LinearRegression,Z0646002,2006-09-04,41093.84164443744,244123.21,203029.37,1,0,2441.2321
LinearRegression,Z0646002,2006-09-05,29152.41279366978,0.0,173876.96,0,0,0.0
LinearRegression,Z0646002,2006-09-06,38060.9936339329,0.0,135815.97,0,0,0.0
LinearRegression,Z0646002,2006-09-07,30505.831207972828,0.0,105310.14,0,0,0.0
LinearRegression,Z0646002,2006-09-08,52065.30063839017,0.0,53244.835,0,0,0.0
LinearRegression,Z0646002,2006-09-09,33453.55190357669,0.0,19791.283,0,0,0.0
LinearRegression,Z0646002,2006-09-10,19791.28314369352,0.0,0.0,0,0,0.0
LinearRegression,Z1031001,2006-09-04,22454.658501323054,64950.929,61055.074,1,0,649.50929
LinearRegression,Z1031001,2006-09-05,10249.321960471789,0.0,50805.752,0,0,0.0
LinearRegression,Z1031001,2006-09-06,12257.517893157365,0.0,38548.234,0,0,0.0
LinearRegression,Z1031001,2006-09-07,12118.52477231776,0.0,26429.71,0,0,0.0
LinearRegression,Z1031001,2006-09-08,5614.343046022458,0.0,20815.367,0,0,0.0
LinearRegression,Z1031001,2006-09-09,9683.325978995657,0.0,11132.041,0,0,0.0
LinearRegression,Z1031001,2006-09-10,11132.040680702163,0.0,0.0,0,0,0.0
LinearRegression,Z1524001,2006-09-04,20588.613300636785,173720.08,153131.47,1,0,1737.2007999999998
LinearRegression,Z1524001,2006-09-05,19454.928281444674,0.0,133676.54,0,0,0.0
LinearRegression,Z1524001,2006-09-06,26069.457823810735,0.0,107607.08,0,0,0.0
LinearRegression,Z1524001,2006-09-07,26778.651721654467,0.0,80828.429,0,0,0.0
LinearRegression,Z1524001,2006-09-08,30097.491278223093,0.0,50730.937,0,0,0.0
LinearRegression,Z1524001,2006-09-09,34161.84510160565,0.0,16569.092,0,0,0.0
LinearRegression,Z1524001,2006-09-10,16569.092347495927,0.0,0.0,0,0,0.0
LinearRegression,Z0276001,2006-09-11,62215.71679724798,381699.81,319484.09,1,0,3816.9981000000002
LinearRegression,Z0276001,2006-09-12,111410.22684458183,0.0,208073.86,0,0,0.0
LinearRegression,Z0276001,2006-09-13,85647.87323083411,0.0,122425.99,0,0,0.0
LinearRegression,Z0276001,2006-09-14,42928.217889118074,0.0,79497.773,0,0,0.0
LinearRegression,Z0276001,2006-09-15,47739.4974920339,0.0,31758.276,0,0,0.0
