           Model      ATM       Date  Predicted_Withdrawal  Refill_Amount   Stock  Refilled  Out_of_Cash  Day_Cost
LinearRegression Z0276001 2006-08-07                40,214              0 459,786         0            0         0
LinearRegression Z0276001 2006-08-08                37,007              0 422,779         0            0         0
LinearRegression Z0276001 2006-08-09                45,237              0 377,542         0            0         0
LinearRegression Z0276001 2006-08-10                44,516              0 333,026         0            0         0
LinearRegression Z0276001 2006-08-11                47,541              0 285,485         0            0         0
LinearRegression Z0276001 2006-08-12                42,269              0 243,216         0            0         0
LinearRegression Z0276001 2006-08-13                12,104              0 231,112         0            0         0
LinearRegression Z0386002 2006-08-07                28,408              0 471,592         0            0         0
LinearRegression Z0386002 2006-08-08                29,784              0 441,809         0            0         0
LinearRegression Z0386002 2006-08-09                34,217              0 407,591         0            0         0
LinearRegression Z0386002 2006-08-10                29,813              0 377,779         0            0         0
LinearRegression Z0386002 2006-08-11                38,984              0 338,795         0            0         0
LinearRegression Z0386002 2006-08-12                44,314              0 294,481         0            0         0
LinearRegression Z0386002 2006-08-13                27,904              0 266,577         0            0         0
LinearRegression Z0646002 2006-08-07                53,941              0 446,059         0            0         0
LinearRegression Z0646002 2006-08-08                52,880              0 393,179         0            0         0
LinearRegression Z0646002 2006-08-09                83,339              0 309,840         0            0         0
LinearRegression Z0646002 2006-08-10                55,115              0 254,725         0            0         0
LinearRegression Z0646002 2006-08-11                89,366              0 165,359         0            0         0
LinearRegression Z0646002 2006-08-12                36,212              0 129,147         0            0         0
LinearRegression Z0646002 2006-08-13                25,108              0 104,039         0            0         0
LinearRegression Z1031001 2006-08-07                10,491              0 489,509         0            0         0
LinearRegression Z1031001 2006-08-08                12,079              0 477,429         0            0         0
LinearRegression Z1031001 2006-08-09                18,099              0 459,330         0            0         0
LinearRegression Z1031001 2006-08-10                14,583              0 444,748         0            0         0
LinearRegression Z1031001 2006-08-11                18,129              0 426,618         0            0         0
LinearRegression Z1031001 2006-08-12                13,225              0 413,393         0            0         0
LinearRegression Z1031001 2006-08-13                11,486              0 401,907         0            0         0
LinearRegression Z1524001 2006-08-07                27,371              0 472,629         0            0         0
LinearRegression Z1524001 2006-08-08                28,210              0 444,419         0            0         0
LinearRegression Z1524001 2006-08-09                44,715              0 399,704         0            0         0
LinearRegression Z1524001 2006-08-10                60,892              0 338,812         0            0         0
LinearRegression Z1524001 2006-08-11                59,453              0 279,359         0            0         0
LinearRegression Z1524001 2006-08-12                55,458              0 223,902         0            0         0
LinearRegression Z1524001 2006-08-13                23,934              0 199,967         0            0         0
LinearRegression Z0276001 2006-08-14                70,823              0 160,289         0            0         0
LinearRegression Z0276001 2006-08-15                74,446              0  85,843         0            0         0
LinearRegression Z0276001 2006-08-16                58,086              0  27,757         0            0         0
LinearRegression Z0276001 2006-08-17                34,150         73,292  66,899         1            0       733
LinearRegression Z0276001 2006-08-18                41,781              0  25,119         0            0         0
LinearRegression Z0276001 2006-08-19                14,243              0  10,875         0            0         0
LinearRegression Z0276001 2006-08-20                10,875              0       0         0            0         0
LinearRegression Z0386002 2006-08-14                80,861              0 185,717         0            0         0
LinearRegression Z0386002 2006-08-15                70,952              0 114,765         0            0         0
LinearRegression Z0386002 2006-08-16                64,878              0  49,887         0            0         0
LinearRegression Z0386002 2006-08-17                44,458              0   5,429         0            0         0
LinearRegression Z0386002 2006-08-18                45,318         69,380  29,491         1            0       694
LinearRegression Z0386002 2006-08-19                13,670              0  15,821         1            0         0
LinearRegression Z0386002 2006-08-20                15,821              0       0         0            0         0
LinearRegression Z0646002 2006-08-14               134,893        500,549 469,696         1            0     5,005
LinearRegression Z0646002 2006-08-15               104,155              0 365,541         0            0         0
LinearRegression Z0646002 2006-08-16               134,045              0 231,496         0            0         0
LinearRegression Z0646002 2006-08-17                94,128              0 137,368         0            0         0
LinearRegression Z0646002 2006-08-18                84,135              0  53,233         0            0         0
LinearRegression Z0646002 2006-08-19                38,369              0  14,864         0            0         0
LinearRegression Z0646002 2006-08-20                14,864              0       0         0            0         0
LinearRegression Z1031001 2006-08-14                78,598              0 323,310         0            0         0
LinearRegression Z1031001 2006-08-15                70,784              0 252,525         0            0         0
LinearRegression Z1031001 2006-08-16                42,706              0 209,819         0            0         0
LinearRegression Z1031001 2006-08-17                18,242              0 191,578         0            0         0
LinearRegression Z1031001 2006-08-18                12,136              0 179,441         0            0         0
LinearRegression Z1031001 2006-08-19                 8,017              0 171,424         0            0         0
LinearRegression Z1031001 2006-08-20                 5,571              0 165,853         0            0         0
LinearRegression Z1524001 2006-08-14                87,904         81,875 193,938         1            0       819
LinearRegression Z1524001 2006-08-15                66,904              0 127,034         0            0         0
LinearRegression Z1524001 2006-08-16                73,613              0  53,421         0            0         0
LinearRegression Z1524001 2006-08-17                53,421              0       0         0            0         0
LinearRegression Z1524001 2006-08-18                43,532         76,288  32,755         1            0       763
LinearRegression Z1524001 2006-08-19                22,691              0  10,064         0            0         0
LinearRegression Z1524001 2006-08-20                10,064              0       0         0            0         0
LinearRegression Z0276001 2006-08-21                46,338        209,396 163,059         1            0     2,094
LinearRegression Z0276001 2006-08-22                28,083              0 134,976         0            0         0
LinearRegression Z0276001 2006-08-23                27,657              0 107,319         0            0         0
LinearRegression Z0276001 2006-08-24                33,025              0  74,294         0            0         0
LinearRegression Z0276001 2006-08-25                38,061              0  36,233         0            0         0
LinearRegression Z0276001 2006-08-26                25,772              0  10,461         0            0         0
LinearRegression Z0276001 2006-08-27                10,461              0       0         0            0         0
LinearRegression Z0386002 2006-08-21                33,928        164,214 130,286         1            0     1,642
LinearRegression Z0386002 2006-08-22                26,589              0 103,696         0            0         0
LinearRegression Z0386002 2006-08-23                21,578              0  82,118         0            0         0
LinearRegression Z0386002 2006-08-24                16,563              0  65,555         0            0         0
LinearRegression Z0386002 2006-08-25                22,431              0  43,124         0            0         0
LinearRegression Z0386002 2006-08-26                13,192              0  29,932         0            0         0
LinearRegression Z0386002 2006-08-27                29,932              0       0         0            0         0
LinearRegression Z0646002 2006-08-21                85,063        324,063 239,000         1            0     3,241
LinearRegression Z0646002 2006-08-22                45,795              0 193,205         0            0         0
LinearRegression Z0646002 2006-08-23                35,541              0 157,664         0            0         0
LinearRegression Z0646002 2006-08-24                35,542              0 122,122         0            0         0
LinearRegression Z0646002 2006-08-25                39,140              0  82,982         0            0         0
LinearRegression Z0646002 2006-08-26                43,353              0  39,629         0            0         0
LinearRegression Z0646002 2006-08-27                39,629              0       0         0            0         0
LinearRegression Z1031001 2006-08-21                36,237              0 129,616         0            0         0
LinearRegression Z1031001 2006-08-22                18,057              0 111,559         0            0         0
