Model,ATM,Date,Predicted_Withdrawal,Refill_Amount,Stock,Refilled,Out_of_Cash,Day_Cost
XGBoost,Z0276001,2006-08-07,49952.62256480204,0.0,450047.38,0,0,0.0
XGBoost,Z0276001,2006-08-08,41765.437745951815,0.0,408281.94,0,0,0.0
XGBoost,Z0276001,2006-08-09,48908.29053407632,0.0,359373.65,0,0,0.0
XGBoost,Z0276001,2006-08-10,45967.14355618167,0.0,313406.51,0,0,0.0
XGBoost,Z0276001,2006-08-11,42562.97343768671,0.0,270843.53,0,0,0.0
XGBoost,Z0276001,2006-08-12,31108.57569929011,0.0,239734.96,0,0,0.0
XGBoost,Z0276001,2006-08-13,10822.341358805177,0.0,228912.62,0,0,0.0
XGBoost,Z0386002,2006-08-07,42777.744605328524,0.0,457222.26,0,0,0.0
XGBoost,Z0386002,2006-08-08,29831.57322789473,0.0,427390.68,0,0,0.0
XGBoost,Z0386002,2006-08-09,29241.4705533153,0.0,398149.21,0,0,0.0
XGBoost,Z0386002,2006-08-10,40223.446367237135,0.0,357925.77,0,0,0.0
XGBoost,Z0386002,2006-08-11,25325.991096842343,0.0,332599.77,0,0,0.0
XGBoost,Z0386002,2006-08-12,40967.04872424286,0.0,291632.73,0,0,0.0
XGBoost,Z0386002,2006-08-13,25849.078724009978,0.0,265783.65,0,0,0.0
XGBoost,Z0646002,2006-08-07,48264.00285600428,0.0,451736.0,0,0,0.0
XGBoost,Z0646002,2006-08-08,45281.60577470792,0.0,406454.39,0,0,0.0
XGBoost,Z0646002,2006-08-09,42913.70877134457,0.0,363540.68,0,0,0.0
XGBoost,Z0646002,2006-08-10,72362.69109508778,0.0,291177.99,0,0,0.0
XGBoost,Z0646002,2006-08-11,126355.15866589392,0.0,164822.83,0,0,0.0
XGBoost,Z0646002,2006-08-12,43213.875936956414,0.0,121608.96,0,0,0.0
XGBoost,Z0646002,2006-08-13,26773.393801850303,0.0,94835.563,0,0,0.0
XGBoost,Z1031001,2006-08-07,7810.829125038091,0.0,492189.17,0,0,0.0
XGBoost,Z1031001,2006-08-08,11131.93576596258,0.0,481057.24,0,0,0.0
XGBoost,Z1031001,2006-08-09,7638.506278684762,0.0,473418.73,0,0,0.0
XGBoost,Z1031001,2006-08-10,9787.64632061968,0.0,463631.08,0,0,0.0
XGBoost,Z1031001,2006-08-11,7232.718668015112,0.0,456398.36,0,0,0.0
XGBoost,Z1031001,2006-08-12,5158.074047004589,0.0,451240.29,0,0,0.0
XGBoost,Z1031001,2006-08-13,8820.554184730341,0.0,442419.74,0,0,0.0
XGBoost,Z1524001,2006-08-07,26569.922664828788,0.0,473430.08,0,0,0.0
XGBoost,Z1524001,2006-08-08,20267.926588503422,0.0,453162.15,0,0,0.0
XGBoost,Z1524001,2006-08-09,67028.96191533576,0.0,386133.19,0,0,0.0
XGBoost,Z1524001,2006-08-10,90729.58941189162,0.0,295403.6,0,0,0.0
XGBoost,Z1524001,2006-08-11,59904.931835747455,0.0,235498.67,0,0,0.0
XGBoost,Z1524001,2006-08-12,24319.52941978018,0.0,211179.14,0,0,0.0
XGBoost,Z1524001,2006-08-13,25854.929146198312,0.0,185324.21,0,0,0.0
XGBoost,Z0276001,2006-08-14,80371.03841814997,0.0,148541.58,0,0,0.0
XGBoost,Z0276001,2006-08-15,61565.17576764488,0.0,86976.406,0,0,0.0
XGBoost,Z0276001,2006-08-16,58787.45376978905,0.0,28188.952,0,0,0.0
XGBoost,Z0276001,2006-08-17,26231.61567474871,48208.252,50165.588,1,0,482.08252
XGBoost,Z0276001,2006-08-18,26703.6466240245,0.0,23461.942,0,0,0.0
XGBoost,Z0276001,2006-08-19,17740.116067441828,0.0,5721.8256,0,0,0.0
XGBoost,Z0276001,2006-08-20,5721.825647926599,0.0,0.0,0,0,0.0
XGBoost,Z0386002,2006-08-14,93271.4380291799,0.0,172512.21,0,0,0.0
XGBoost,Z0386002,2006-08-15,66063.15773676411,0.0,106449.05,0,0,0.0
XGBoost,Z0386002,2006-08-16,66912.49897061921,0.0,39536.555,0,0,0.0
XGBoost,Z0386002,2006-08-17,34635.11540884201,0.0,4901.4399,0,0,0.0
XGBoost,Z0386002,2006-08-18,51949.46356223378,73035.308,25987.285,1,0,730.3530800000001
XGBoost,Z0386002,2006-08-19,17737.765238050957,0.001,8249.5205,1,0,1e-05
XGBoost,Z0386002,2006-08-20,8249.520486295181,0.0,0.0,0,0,0.0
XGBoost,Z0646002,2006-08-14,125891.43539306878,471815.87,440760.0,1,0,4718.1587
XGBoost,Z0646002,2006-08-15,82929.16996584489,0.0,357830.83,0,0,0.0
XGBoost,Z0646002,2006-08-16,112958.60458086527,0.0,244872.23,0,0,0.0
XGBoost,Z0646002,2006-08-17,68304.88448977598,0.0,176567.34,0,0,0.0
XGBoost,Z0646002,2006-08-18,103701.96903168446,0.0,72865.372,0,0,0.0
XGBoost,Z0646002,2006-08-19,47303.102777613196,0.0,25562.269,0,0,0.0
XGBoost,Z0646002,2006-08-20,25562.26926344198,0.0,0.0,0,0,0.0
XGBoost,Z1031001,2006-08-14,103168.15332038945,0.0,339251.59,0,0,0.0
XGBoost,Z1031001,2006-08-15,51243.739374038945,0.0,288007.85,0,0,0.0
XGBoost,Z1031001,2006-08-16,67045.41468089569,0.0,220962.43,0,0,0.0
XGBoost,Z1031001,2006-08-17,21735.235342210886,0.0,199227.2,0,0,0.0
XGBoost,Z1031001,2006-08-18,17117.933603935307,0.0,182109.26,0,0,0.0
XGBoost,Z1031001,2006-08-19,3890.885824012543,0.0,178218.38,0,0,0.0
XGBoost,Z1031001,2006-08-20,3501.8671631708667,0.0,174716.51,0,0,0.0
XGBoost,Z1524001,2006-08-14,105106.26060598566,0.0,80217.949,0,0,0.0
XGBoost,Z1524001,2006-08-15,87980.44129391595,248879.88,241117.39,1,0,2488.7988
XGBoost,Z1524001,2006-08-16,86347.65837812987,0.0,154769.73,0,0,0.0
XGBoost,Z1524001,2006-08-17,72333.4326068702,0.0,82436.296,0,0,0.0
XGBoost,Z1524001,2006-08-18,57720.675482930936,0.0,24715.62,0,0,0.0
XGBoost,Z1524001,2006-08-19,10413.702451084035,0.0,14301.918,0,0,0.0
XGBoost,Z1524001,2006-08-20,14301.917625583868,0.0,0.0,0,0,0.0
XGBoost,Z0276001,2006-08-21,41251.41550744668,184224.08,142972.67,1,0,1842.2407999999998
XGBoost,Z0276001,2006-08-22,32748.705369630705,0.0,110223.96,0,0,0.0
XGBoost,Z0276001,2006-08-23,24293.466774869124,0.0,85930.493,0,0,0.0
XGBoost,Z0276001,2006-08-24,22486.088964522438,0.0,63444.404,0,0,0.0
XGBoost,Z0276001,2006-08-25,22490.433096325803,0.0,40953.971,0,0,0.0
XGBoost,Z0276001,2006-08-26,27830.650367685477,0.0,13123.321,0,0,0.0
XGBoost,Z0276001,2006-08-27,13123.320818092805,0.0,0.0,0,0,0.0
XGBoost,Z0386002,2006-08-21,60757.33275700186,216748.4,155991.07,1,0,2167.484
XGBoost,Z0386002,2006-08-22,41781.01381039107,0.0,114210.06,0,0,0.0
XGBoost,Z0386002,2006-08-23,22885.1541053033,0.0,91324.902,0,0,0.0
XGBoost,Z0386002,2006-08-24,24918.32174180166,0.0,66406.58,0,0,0.0
XGBoost,Z0386002,2006-08-25,26527.706303105155,0.0,39878.874,0,0,0.0
XGBoost,Z0386002,2006-08-26,26765.319260087977,0.0,13113.554,0,0,0.0
XGBoost,Z0386002,2006-08-27,13113.554347665231,0.0,0.0,0,0,0.0
XGBoost,Z0646002,2006-08-21,143353.12217850654,367551.06,224197.94,1,0,3675.5106
XGBoost,Z0646002,2006-08-22,75315.5615314938,0.0,148882.38,0,0,0.0
XGBoost,Z0646002,2006-08-23,35434.74528160927,0.0,113447.63,0,0,0.0
XGBoost,Z0646002,2006-08-24,17668.472327686974,0.0,95779.159,0,0,0.0
XGBoost,Z0646002,2006-08-25,22511.961524272854,0.0,73267.198,0,0,0.0
XGBoost,Z0646002,2006-08-26,34194.708056233314,0.0,39072.49,0,0,0.0
XGBoost,Z0646002,2006-08-27,39072.48983354931,0.0,0.0,0,0,0.0
XGBoost,Z1031001,2006-08-21,51689.44966365505,0.0,123027.06,0,0,0.0
XGBoost,Z1031001,2006-08-22,25711.362387282257,0.0,97315.698,0,0,0.0
XGBoost,Z1031001,2006-08-23,11755.789411205904,0.0,85559.909,0,0,0.0
XGBoost,Z1031001,2006-08-24,10824.851624157243,0.0,74735.057,0,0,0.0
XGBoost,Z1031001,2006-08-25,8975.907892221927,0.0,65759.149,0,0,0.0
XGBoost,Z1031001,2006-08-26,5998.6491714491285,0.0,59760.5,0,0,0.0
XGBoost,Z1031001,2006-08-27,3837.3011036896173,0.0,55923.199,0,0,0.0
XGBoost,Z1524001,2006-08-21,63401.86941214389,299207.14,235805.28,1,0,2992.0714000000003
XGBoost,Z1524001,2006-08-22,28413.52491329487,0.0,207391.75,0,0,0.0
XGBoost,Z1524001,2006-08-23,29509.081438281413,0.0,177882.67,0,0,0.0
XGBoost,Z1524001,2006-08-24,40805.64599283908,0.0,137077.02,0,0,0.0
XGBoost,Z1524001,2006-08-25,28656.659706749306,0.0,108420.36,0,0,0.0
XGBoost,Z1524001,2006-08-26,49306.68505207189,0.0,59113.678,0,0,0.0
