  Model      ATM       Date  Predicted_Withdrawal  Refill_Amount   Stock  Refilled  Out_of_Cash  Day_Cost
XGBoost Z0276001 2006-08-07                49,953              0 450,047         0            0         0
XGBoost Z0276001 2006-08-08                41,765              0 408,282         0            0         0
XGBoost Z0276001 2006-08-09                48,908              0 359,374         0            0         0
XGBoost Z0276001 2006-08-10                45,967              0 313,407         0            0         0
XGBoost Z0276001 2006-08-11                42,563              0 270,844         0            0         0
XGBoost Z0276001 2006-08-12                31,109              0 239,735         0            0         0
XGBoost Z0276001 2006-08-13                10,822              0 228,913         0            0         0
XGBoost Z0386002 2006-08-07                42,778              0 457,222         0            0         0
XGBoost Z0386002 2006-08-08                29,832              0 427,391         0            0         0
XGBoost Z0386002 2006-08-09                29,241              0 398,149         0            0         0
XGBoost Z0386002 2006-08-10                40,223              0 357,926         0            0         0
XGBoost Z0386002 2006-08-11                25,326              0 332,600         0            0         0
XGBoost Z0386002 2006-08-12                40,967              0 291,633         0            0         0
XGBoost Z0386002 2006-08-13                25,849              0 265,784         0            0         0
XGBoost Z0646002 2006-08-07                48,264              0 451,736         0            0         0
XGBoost Z0646002 2006-08-08                45,282              0 406,454         0            0         0
XGBoost Z0646002 2006-08-09                42,914              0 363,541         0            0         0
XGBoost Z0646002 2006-08-10                72,363              0 291,178         0            0         0
XGBoost Z0646002 2006-08-11               126,355              0 164,823         0            0         0
XGBoost Z0646002 2006-08-12                43,214              0 121,609         0            0         0
XGBoost Z0646002 2006-08-13                26,773              0  94,836         0            0         0
XGBoost Z1031001 2006-08-07                 7,811              0 492,189         0            0         0
XGBoost Z1031001 2006-08-08                11,132              0 481,057         0            0         0
XGBoost Z1031001 2006-08-09                 7,639              0 473,419         0            0         0
XGBoost Z1031001 2006-08-10                 9,788              0 463,631         0            0         0
XGBoost Z1031001 2006-08-11                 7,233              0 456,398         0            0         0
XGBoost Z1031001 2006-08-12                 5,158              0 451,240         0            0         0
XGBoost Z1031001 2006-08-13                 8,821              0 442,420         0            0         0
XGBoost Z1524001 2006-08-07                26,570              0 473,430         0            0         0
XGBoost Z1524001 2006-08-08                20,268              0 453,162         0            0         0
XGBoost Z1524001 2006-08-09                67,029              0 386,133         0            0         0
XGBoost Z1524001 2006-08-10                90,730              0 295,404         0            0         0
XGBoost Z1524001 2006-08-11                59,905              0 235,499         0            0         0
XGBoost Z1524001 2006-08-12                24,320              0 211,179         0            0         0
XGBoost Z1524001 2006-08-13                25,855              0 185,324         0            0         0
XGBoost Z0276001 2006-08-14                80,371              0 148,542         0            0         0
XGBoost Z0276001 2006-08-15                61,565              0  86,976         0            0         0
XGBoost Z0276001 2006-08-16                58,787              0  28,189         0            0         0
XGBoost Z0276001 2006-08-17                26,232              0   1,957         0            0         0
XGBoost Z0276001 2006-08-18                26,704         48,208  23,462         1            0       482
XGBoost Z0276001 2006-08-19                17,740              0   5,722         0            0         0
XGBoost Z0276001 2006-08-20                 5,722              0       0         0            0         0
XGBoost Z0386002 2006-08-14                93,271              0 172,512         0            0         0
XGBoost Z0386002 2006-08-15                66,063              0 106,449         0            0         0
XGBoost Z0386002 2006-08-16                66,912              0  39,537         0            0         0
XGBoost Z0386002 2006-08-17                34,635              0   4,901         0            0         0
XGBoost Z0386002 2006-08-18                51,949         73,035  25,987         1            0       730
XGBoost Z0386002 2006-08-19                17,738              0   8,250         0            0         0
XGBoost Z0386002 2006-08-20                 8,250              0       0         0            0         0
XGBoost Z0646002 2006-08-14               125,891        471,816 440,760         1            0     4,718
XGBoost Z0646002 2006-08-15                82,929              0 357,831         0            0         0
XGBoost Z0646002 2006-08-16               112,959              0 244,872         0            0         0
XGBoost Z0646002 2006-08-17                68,305              0 176,567         0            0         0
XGBoost Z0646002 2006-08-18               103,702              0  72,865         0            0         0
XGBoost Z0646002 2006-08-19                47,303              0  25,562         0            0         0
XGBoost Z0646002 2006-08-20                25,562              0       0         0            0         0
XGBoost Z1031001 2006-08-14               103,168              0 339,252         0            0         0
XGBoost Z1031001 2006-08-15                51,244              0 288,008         0            0         0
XGBoost Z1031001 2006-08-16                67,045              0 220,962         0            0         0
XGBoost Z1031001 2006-08-17                21,735              0 199,227         0            0         0
XGBoost Z1031001 2006-08-18                17,118              0 182,109         0            0         0
XGBoost Z1031001 2006-08-19                 3,891              0 178,218         0            0         0
XGBoost Z1031001 2006-08-20                 3,502              0 174,717         0            0         0
XGBoost Z1524001 2006-08-14               105,106              0  80,218         0            0         0
XGBoost Z1524001 2006-08-15                87,980        248,880 241,117         1            0     2,489
XGBoost Z1524001 2006-08-16                86,348              0 154,770         0            0         0
XGBoost Z1524001 2006-08-17                72,333              0  82,436         0            0         0
XGBoost Z1524001 2006-08-18                57,721              0  24,716         0            0         0
XGBoost Z1524001 2006-08-19                10,414              0  14,302         0            0         0
XGBoost Z1524001 2006-08-20                14,302              0       0         0            0         0
XGBoost Z0276001 2006-08-21                41,251        184,224 142,973         1            0     1,842
XGBoost Z0276001 2006-08-22                32,749              0 110,224         0            0         0
XGBoost Z0276001 2006-08-23                24,293              0  85,930         0            0         0
XGBoost Z0276001 2006-08-24                22,486              0  63,444         0            0         0
XGBoost Z0276001 2006-08-25                22,490              0  40,954         0            0         0
XGBoost Z0276001 2006-08-26                27,831              0  13,123         0            0         0
XGBoost Z0276001 2006-08-27                13,123              0       0         0            0         0
XGBoost Z0386002 2006-08-21                60,757        216,748 155,991         1            0     2,167
XGBoost Z0386002 2006-08-22                41,781              0 114,210         0            0         0
XGBoost Z0386002 2006-08-23                22,885              0  91,325         0            0         0
XGBoost Z0386002 2006-08-24                24,918              0  66,407         0            0         0
XGBoost Z0386002 2006-08-25                26,528              0  39,879         0            0         0
XGBoost Z0386002 2006-08-26                26,765              0  13,114         0            0         0
XGBoost Z0386002 2006-08-27                13,114              0       0         0            0         0
XGBoost Z0646002 2006-08-21               143,353        367,551 224,198         1            0     3,676
XGBoost Z0646002 2006-08-22                75,316              0 148,882         0            0         0
XGBoost Z0646002 2006-08-23                35,435              0 113,448         0            0         0
XGBoost Z0646002 2006-08-24                17,668              0  95,779         0            0         0
XGBoost Z0646002 2006-08-25                22,512              0  73,267         0            0         0
XGBoost Z0646002 2006-08-26                34,195              0  39,072         0            0         0
XGBoost Z0646002 2006-08-27                39,072              0       0         0            0         0
XGBoost Z1031001 2006-08-21                51,689              0 123,027         0            0         0
XGBoost Z1031001 2006-08-22                25,711              0  97,316         0            0         0
XGBoost Z1031001 2006-08-23                11,756              0  85,560         0            0         0
XGBoost Z1031001 2006-08-24                10,825              0  74,735         0            0         0
XGBoost Z1031001 2006-08-25                 8,976              0  65,759         0            0         0
XGBoost Z1031001 2006-08-26                 5,999              0  59,760         0            0         0
XGBoost Z1031001 2006-08-27                 3,837              0  55,923         0            0         0
XGBoost Z1524001 2006-08-21                63,402        180,787 117,385         1            0     1,808
XGBoost Z1524001 2006-08-22                28,414              0  88,971         0            0         0
XGBoost Z1524001 2006-08-23                29,509              0  59,462         0            0         0
XGBoost Z1524001 2006-08-24                40,806         10,000  28,657         1            0       100
XGBoost Z1524001 2006-08-25                28,657              0       0         0            0         0
XGBoost Z1524001 2006-08-26                49,307        108,420  59,114         1            0     1,084
XGBoost Z1524001 2006-08-27                59,114              0       0         0            0         0
XGBoost Z0276001 2006-08-28                51,560        242,278 190,718         1            0     2,423
XGBoost Z0276001 2006-08-29                45,713              0 145,006         0            0         0
XGBoost Z0276001 2006-08-30                50,462              0  94,543         0            0         0
XGBoost Z0276001 2006-08-31                33,236         10,000  71,308         1            0       100
XGBoost Z0276001 2006-09-01                35,737              0  35,570         0            0         0
XGBoost Z0276001 2006-09-02                22,350              0  13,220         0            0         0
XGBoost Z0276001 2006-09-03                13,220              0       0         0            0         0
XGBoost Z0386002 2006-08-28                60,466        142,620  82,154         1            0     1,426
XGBoost Z0386002 2006-08-29                40,900         10,000  51,254         1            0       100
XGBoost Z0386002 2006-08-30                29,950              0  21,304         0            0         0
XGBoost Z0386002 2006-08-31                21,304              0       0         0            0         0
XGBoost Z0386002 2006-09-01                25,979         42,414  16,435         1            0       424
XGBoost Z0386002 2006-09-02                11,131              0   5,304         0            0         0
XGBoost Z0386002 2006-09-03                 5,304              0       0         0            0         0
XGBoost Z0646002 2006-08-28               146,201        146,201       0         1            0     1,462
XGBoost Z0646002 2006-08-29                67,703        158,703  91,000         1            0     1,587
XGBoost Z0646002 2006-08-30                44,289              0  46,711         0            0         0
XGBoost Z0646002 2006-08-31                22,710              0  24,002         0            0         0
XGBoost Z0646002 2006-09-01                24,002              0       0         0            0         0
XGBoost Z0646002 2006-09-02                29,638         57,722  28,084         1            0       577
XGBoost Z0646002 2006-09-03                28,084              0       0         0            0         0
XGBoost Z1031001 2006-08-28                 8,692              0  47,231         0            0         0
XGBoost Z1031001 2006-08-29                17,381              0  29,851         0            0         0
XGBoost Z1031001 2006-08-30                13,546              0  16,305         0            0         0
XGBoost Z1031001 2006-08-31                13,433              0   2,872         0            0         0
XGBoost Z1031001 2006-09-01                 8,221         18,271  12,922         1            0       183
XGBoost Z1031001 2006-09-02                 5,719              0   7,203         0            0         0
XGBoost Z1031001 2006-09-03                 7,203              0       0         0            0         0
XGBoost Z1524001 2006-08-28               107,789        250,976 143,187         1            0     2,510
XGBoost Z1524001 2006-08-29                59,770              0  83,417         0            0         0
XGBoost Z1524001 2006-08-30                67,205         10,000  26,212         1            0       100
XGBoost Z1524001 2006-08-31                26,212              0       0         0            0         0
XGBoost Z1524001 2006-09-01                29,810         54,998  25,188         1            0       550
XGBoost Z1524001 2006-09-02                 8,903              0  16,285         0            0         0
XGBoost Z1524001 2006-09-03                16,285              0       0         0            0         0
XGBoost Z0276001 2006-09-04                34,585        124,654  90,068         1            0     1,247
XGBoost Z0276001 2006-09-05                30,216              0  59,853         0            0         0
XGBoost Z0276001 2006-09-06                21,460         10,000  48,392         1            0       100
XGBoost Z0276001 2006-09-07                22,974              0  25,418         0            0         0
XGBoost Z0276001 2006-09-08                25,418              0       0         0            0         0
XGBoost Z0276001 2006-09-09                42,939         59,117  16,178         1            0       591
XGBoost Z0276001 2006-09-10                16,178              0       0         0            0         0
XGBoost Z0386002 2006-09-04                37,664         95,238  57,574         1            0       952
XGBoost Z0386002 2006-09-05                22,643              0  34,931         0            0         0
XGBoost Z0386002 2006-09-06                19,254              0  15,677         0            0         0
XGBoost Z0386002 2006-09-07                15,677              0       0         0            0         0
XGBoost Z0386002 2006-09-08                18,104         52,522  34,418         1            0       525
XGBoost Z0386002 2006-09-09                22,898              0  11,520         0            0         0
XGBoost Z0386002 2006-09-10                11,520              0       0         0            0         0
XGBoost Z0646002 2006-09-04                40,598        108,202  67,603         1            0     1,082
XGBoost Z0646002 2006-09-05                35,495              0  32,108         0            0         0
XGBoost Z0646002 2006-09-06                25,317         10,000  16,791         1            0       100
XGBoost Z0646002 2006-09-07                16,791              0       0         0            0         0
XGBoost Z0646002 2006-09-08                26,097         79,402  53,304         1            0       794
XGBoost Z0646002 2006-09-09                29,203              0  24,101         0            0         0
XGBoost Z0646002 2006-09-10                24,101              0       0         0            0         0
XGBoost Z1031001 2006-09-04                12,947         73,342  60,395         1            0       733
XGBoost Z1031001 2006-09-05                 9,611              0  50,784         0            0         0
XGBoost Z1031001 2006-09-06                 7,690              0  43,094         0            0         0
XGBoost Z1031001 2006-09-07                11,467              0  31,627         0            0         0
XGBoost Z1031001 2006-09-08                 8,096              0  23,530         0            0         0
XGBoost Z1031001 2006-09-09                15,181              0   8,349         0            0         0
XGBoost Z1031001 2006-09-10                 8,349              0       0         0            0         0
XGBoost Z1524001 2006-09-04                17,007        134,581 117,575         1            0     1,346
XGBoost Z1524001 2006-09-05                11,111              0 106,463         0            0         0
XGBoost Z1524001 2006-09-06                26,190              0  80,273         0            0         0
XGBoost Z1524001 2006-09-07                22,029              0  58,244         0            0         0
XGBoost Z1524001 2006-09-08                24,331              0  33,913         0            0         0
XGBoost Z1524001 2006-09-09                19,127              0  14,786         0            0         0
XGBoost Z1524001 2006-09-10                14,786              0       0         0            0         0
XGBoost Z0276001 2006-09-11                86,667        315,233 228,566         1            0     3,152
XGBoost Z0276001 2006-09-12                57,213              0 171,353         0            0         0
XGBoost Z0276001 2006-09-13                67,601         10,000 113,752         1            0       100
XGBoost Z0276001 2006-09-14                36,852              0  76,899         0            0         0
XGBoost Z0276001 2006-09-15                39,621              0  37,278         0            0         0
XGBoost Z0276001 2006-09-16                21,293              0  15,985         0            0         0
XGBoost Z0276001 2006-09-17                15,985              0       0         0            0         0
XGBoost Z0386002 2006-09-11                92,616        356,852 264,237         1            0     3,569
XGBoost Z0386002 2006-09-12                44,734              0 219,503         0            0         0
XGBoost Z0386002 2006-09-13                64,536              0 154,966         0            0         0
XGBoost Z0386002 2006-09-14                51,983              0 102,983         0            0         0
XGBoost Z0386002 2006-09-15                86,705         10,000  26,278         1            0       100
XGBoost Z0386002 2006-09-16                19,143              0   7,135         0            0         0
XGBoost Z0386002 2006-09-17                 7,135              0       0         0            0         0
XGBoost Z0646002 2006-09-11               121,499        204,481  82,982         1            0     2,045
XGBoost Z0646002 2006-09-12                82,982              0       0         0            0         0
XGBoost Z0646002 2006-09-13               110,434        199,535  89,101         1            0     1,995
XGBoost Z0646002 2006-09-14                89,101              0       0         0            0         0
XGBoost Z0646002 2006-09-15               188,495        283,305  94,810         1            0     2,833
XGBoost Z0646002 2006-09-16                56,471              0  38,339         0            0         0
XGBoost Z0646002 2006-09-17                38,339              0       0         0            0         0
XGBoost Z1031001 2006-09-11                72,283        178,943 106,661         1            0     1,789
XGBoost Z1031001 2006-09-12                48,223              0  58,438         0            0         0
XGBoost Z1031001 2006-09-13                58,438              0       0         0            0         0
XGBoost Z1031001 2006-09-14                29,265         81,888  52,623         1            0       819
XGBoost Z1031001 2006-09-15                30,806              0  21,817         0            0         0
XGBoost Z1031001 2006-09-16                14,903              0   6,914         0            0         0
XGBoost Z1031001 2006-09-17                 6,914              0       0         0            0         0
XGBoost Z1524001 2006-09-11                53,210         53,210       0         1            0       532
XGBoost Z1524001 2006-09-12                63,132        158,720  95,588         1            0     1,587
XGBoost Z1524001 2006-09-13                95,588              0       0         0            0         0
XGBoost Z1524001 2006-09-14                76,611        233,092 156,481         1            0     2,331
XGBoost Z1524001 2006-09-15               107,579              0  48,903         0            0         0
