"ATM_ID,""ATM_NUMBER"",""DATE"",""ATM_WITHDRWLS"",""ATM_WITHDRWLS_SCALED"",""DAY_OF_WEEK"",""DAY_IN_MONTH"",""MONTH"",""YEAR"",""ATM_WITHDRWLS_1WEEKAGO"",""ATM_WITHDRWLS_2WEEKAGO"",""AVG_ATM_WITHDRW_PREVMONTH"",""FIRSTWORKDAY"",""LASTWORKDAY"",""IsSaturday"",""IsSunday"",""HOLIDAY"""
"Z0241002,""1"",""25/02/2008"",""193525"",""0.57"",""2"",""25"",""2"",""2008"",""165230"",""78115"",""141777.742"",""0"",""0"",""0"",""0"",""0"""
"Z0951001,""2"",""25/02/2008"",""160540"",""0.47"",""2"",""25"",""2"",""2008"",""61510"",""68050"",""84761.613"",""0"",""0"",""0"",""0"",""0"""
"Z1031001,""3"",""25/02/2008"",""106440"",""0.31"",""2"",""25"",""2"",""2008"",""67700"",""14760"",""30773.548"",""0"",""0"",""0"",""0"",""0"""
"Z1119001,""4"",""25/02/2008"",""223025"",""0.65"",""2"",""25"",""2"",""2008"",""213465"",""28970"",""97201.774"",""0"",""0"",""0"",""0"",""0"""
"Z1899001,""5"",""25/02/2008"",""134225"",""0.39"",""2"",""25"",""2"",""2008"",""31620"",""15125"",""52936.29"",""0"",""0"",""0"",""0"",""0"""
"Z0241002,""1"",""24/02/2008"",""124330"",""0.36"",""1"",""24"",""2"",""2008"",""67640"",""40800"",""141221.935"",""1"",""0"",""0"",""0"",""0"""
"Z0951001,""2"",""24/02/2008"",""10450"",""0.03"",""1"",""24"",""2"",""2008"",""22940"",""25530"",""85129.032"",""1"",""0"",""0"",""0"",""0"""
"Z1031001,""3"",""24/02/2008"",""43630"",""0.13"",""1"",""24"",""2"",""2008"",""4240"",""8880"",""30889.355"",""1"",""0"",""0"",""0"",""0"""
"Z1119001,""4"",""24/02/2008"",""105310"",""0.31"",""1"",""24"",""2"",""2008"",""58045"",""12030"",""97115.484"",""1"",""0"",""0"",""0"",""0"""
"Z1899001,""5"",""24/02/2008"",""52090"",""0.15"",""1"",""24"",""2"",""2008"",""14610"",""4920"",""52970"",""1"",""0"",""0"",""0"",""0"""
"Z0241002,""1"",""23/02/2008"",""105730"",""0.31"",""7"",""23"",""2"",""2008"",""86160"",""85940"",""139946.129"",""0"",""1"",""0"",""1"",""0"""
